DateTime,AddedIPs,RemovedIPs
1520136173,2,0
1520164946,1,0
1520172151,1,0
1520197339,1,0
1520204579,1,0
1520208200,2,0
1520233369,1,1
1520236933,1,0
1520269380,1,0
1520272996,1,0
1520301808,0,1
1520312563,1,0
1520319732,0,1
1520326929,0,1
1520363015,0,1
1520366545,1,0
1520380990,1,0
1520449395,0,1
1520463796,1,0
1520485349,1,0
1520499761,1,0
1520506999,0,2
1520524987,0,1
1520528593,0,1
1520535798,2,0
1520542993,0,1
1520550189,0,1
1520553795,1,0
1520571780,0,1
1520586183,1,0
1520589794,4,0
1520600578,1,0
1520640145,1,0
1520672593,1,0
1520676181,0,2
1520704996,0,1
1520715793,1,0
1520726601,1,0
1520730147,1,0
1520776985,0,1
1520812960,0,1
1520816542,0,1
1520820137,0,1
1520823736,0,2
1520841783,0,1
1520863395,1,0
1520877765,0,1
1520892130,1,0
1520913756,2,0
1520924531,1,0
1520946205,1,0
1520971351,0,1
1520989399,1,0
1521000163,1,0
1521014584,1,0
1521028961,2,0
1521050552,0,1
1521054181,0,1
1521068561,0,1
1521086583,1,0
1521104585,0,1
1521129763,1,0
1521140592,0,2
1521154954,1,0
1521176572,1,0
1521201785,1,0
1521205389,0,2
1521209003,0,3
1521216199,0,1
1521230558,0,2
1521252199,1,0
1521255801,2,0
1521280995,1,0
1521284579,0,2
1521306178,1,0
1521320603,0,1
1521334984,0,1
1521342203,1,0
1521399796,1,0
1521424991,0,1
1521489778,1,0
1521496993,0,1
1521504191,1,0
1521518597,0,1
1521529393,0,1
1521550980,0,1
1521619384,0,1
1521633793,0,1
1521644595,1,0
1521691381,1,0
1521694983,1,0
1521788515,0,1
1521820968,0,1
1521856997,1,2
1521860534,0,1
1521910977,0,1
1521914549,1,0
1521979392,0,1
1522004596,0,1
1522019001,0,1
1522040595,1,1
1522058575,1,0
1522065732,1,1
1522076592,1,0
1522094592,1,1
1522101795,1,0
1522108998,1,1
1522112588,1,0
1522116184,1,0
1522134193,0,1
1522141369,0,1
1522173748,1,0
1522184606,0,1
1522188209,0,1
1522209769,0,1
1522249404,1,0
1522267397,2,0
1522270990,0,1
1522278191,2,1
1522281747,1,1
1522285365,0,1
1522296208,1,1
1522303396,1,0
1522310599,0,1
1522342967,1,0
1522346594,1,0
1522378988,1,0
1522389752,1,0
1522397005,1,0
1522425785,0,1
1522450973,1,0
1522454585,0,1
1522458200,1,0
1522494176,1,0
1522519377,0,1
1522526571,1,1
1522548179,1,0
1522638158,1,0
1522645392,1,1
1522659753,1,0
1522663361,0,1
1522666965,1,0
1522670572,0,1
1522717392,1,0
1522728182,0,1
1522731790,1,0
1522735390,1,0
1522742553,0,1
1522778602,0,1
1522857774,0,1
1522868586,1,0
1522872195,0,1
1522890158,0,1
1522893754,1,0
1522900989,0,1
1522904592,1,0
1522908195,0,1
1522911801,0,1
1522933400,1,0
1522983788,0,2
1522994591,1,0
1522998187,1,0
1523001790,0,1
1523005387,0,1
1523030603,0,1
1523062986,0,1
1523084610,1,0
1523099025,0,2
1523120585,1,0
1523152997,0,1
1523167405,1,0
1523170988,0,1
1523189003,0,1
1523250165,0,1
1523264580,0,1
1523268175,0,1
1523271776,0,1
1523289796,1,0
1523311377,1,0
1523322192,1,1
1523336581,0,1
1523340201,0,1
1523358192,1,0
1523397794,0,1
1523476988,0,1
1523491387,1,0
1523520165,0,1
1523538200,0,1
1523567001,1,0
1523574180,0,1
1523620995,0,1
1523638963,1,0
1523671391,0,1
1523678577,0,1
1523689379,0,1
1523725392,0,1
1523772192,0,1
1523836963,0,1
1523862191,1,0
1523883775,1,0
1523890997,0,1
1523894590,0,1
1523905407,1,0
1523908991,1,0
1523912587,1,0
1523934202,0,1
1523945016,1,0
1523977411,1,0
1523981021,1,0
1524006197,1,0
1524013387,0,1
1524016977,0,1
1524027800,1,0
1524049419,0,1
1524085393,0,1
