DateTime,AddedIPs,RemovedIPs
1527160086,4,25
1527163698,6,60
1527167290,20,27
1527170886,23,18
1527174485,17,18
1527178086,19,40
1527181674,12,32
1527185290,95,26
1527188882,26,41
1527192488,35,25
1527196088,16,24
1527199687,21,29
1527203292,27,21
1527206889,19,42
1527210484,22,19
1527214087,22,15
1527217685,25,38
1527221288,16,28
1527224879,9,25
1527228475,11,17
1527232085,14,30
1527235687,67,18
1527239290,15,20
1527242889,11,14
1527246475,14,22
1527250089,28,25
1527253686,17,20
1527257284,39,10
1527260888,31,19
1527264491,27,18
1527268090,8,24
1527271685,12,31
1527275285,23,33
1527278882,53,17
1527282484,20,25
1527286090,22,13
1527289679,20,12
1527293287,14,25
1527296883,23,8
1527300490,22,11
1527304085,22,25
1527307677,28,17
1527311286,17,39
1527314883,15,26
1527318483,10,29
1527322087,23,19
1527325684,36,20
1527329280,17,26
1527332883,29,18
1527336476,12,23
1527340084,19,18
1527343676,18,14
1527347277,17,24
1527350888,28,18
1527354484,25,44
1527358078,11,22
1527361674,1,21
1527365270,18,20
1527368880,27,26
1527372476,0,80
1527376076,25,19
1527379676,13,24
1527383271,24,29
1527386872,10,16
1527390470,24,11
1527394090,25,8
1527397690,24,21
1527401287,3,32
1527404883,7,15
1527408490,15,25
1527412083,25,13
1527415681,15,24
1527419268,16,18
1527422878,22,20
1527426478,18,33
1527430078,19,23
1527433674,20,18
1527437282,29,11
1527440878,30,18
1527444482,18,33
1527448077,17,25
1527451678,11,28
1527455274,20,26
1527458893,30,24
1527462477,12,13
1527466078,31,17
1527469672,16,26
1527473276,26,26
1527476879,16,9
1527480478,18,14
1527484071,31,19
1527487640,15,29
1527491266,8,18
1527494868,7,38
1527498471,12,16
1527502076,34,32
1527505668,23,23
1527509268,14,16
1527512862,12,26
1527516466,19,34
1527520064,16,15
1527523669,24,21
1527527269,36,16
1527530869,24,35
1527534466,13,46
1527538069,12,33
1527541668,10,26
1527545269,55,16
1527548871,66,13
1527552473,38,17
1527556070,31,35
1527559664,24,12
1527563268,29,11
1527566870,26,8
1527570479,26,11
1527574065,20,10
1527577675,11,15
1527581273,12,18
1527584877,6,15
1527588473,21,15
1527592080,30,18
1527595671,14,27
1527599262,30,34
1527602885,122,16
1527606491,287,21
1527610113,203,12
1527613715,122,8
1527617326,108,14
1527620923,72,22
1527624525,83,21
1527628123,41,28
1527631730,47,35
1527635333,75,51
1527638934,38,40
1527642526,54,48
1527646126,28,41
1527649729,27,28
1527653325,23,23
1527656921,35,26
1527660519,76,43
1527664122,26,61
1527667721,15,27
1527671307,18,45
1527674918,15,44
1527678517,22,58
1527682117,34,39
1527685714,17,36
1527689315,29,53
1527692916,16,46
1527696516,17,28
1527700112,22,17
1527703711,15,24
1527707308,34,45
1527710904,18,63
1527714507,15,29
1527725224,5,21
1527732503,87,128
1527736096,19,32
1527739707,22,21
1527743300,13,27
1527746900,15,20
1527750499,37,37
1527754104,18,17
1527757692,7,25
1527761301,14,20
1527764899,25,9
1527768507,36,16
1527772118,18,24
1527775715,24,29
1527779299,14,28
1527782910,11,29
1527786512,16,17
1527790108,25,91
1527793711,34,25
1527797302,20,42
1527800904,8,19
1527804505,12,29
