DateTime,Entries,UniqueIPs
1527376076,6974,6974
1527376076,6974,6974
1527379676,6963,6963
1527379676,6963,6963
1527379676,6963,6963
1527383271,6958,6958
1527383271,6958,6958
1527386872,6952,6952
1527386872,6952,6952
1527386872,6952,6952
1527390470,6965,6965
1527390470,6965,6965
1527390470,6965,6965
1527394090,6982,6982
1527394090,6982,6982
1527394090,6982,6982
1527394090,6982,6982
1527397690,6985,6985
1527397690,6985,6985
1527401287,6956,6956
1527404883,6948,6948
1527408490,6938,6938
1527412083,6950,6950
1527415681,6941,6941
1527419268,6939,6939
1527422878,6941,6941
1527426478,6926,6926
1527430078,6922,6922
1527433674,6924,6924
1527437282,6942,6942
1527440878,6954,6954
1527444482,6939,6939
1527448077,6931,6931
1527451678,6914,6914
1527455274,6908,6908
1527458893,6914,6914
1527462477,6913,6913
1527466078,6927,6927
1527469672,6917,6917
1527473276,6917,6917
1527476879,6924,6924
1527480478,6928,6928
1527484071,6940,6940
1527487640,6926,6926
1527491266,6916,6916
1527494868,6885,6885
1527498471,6881,6881
1527502076,6883,6883
1527505668,6883,6883
1527509268,6881,6881
1527512862,6867,6867
1527516466,6852,6852
1527520064,6853,6853
1527523669,6856,6856
1527527269,6876,6876
1527530869,6865,6865
1527534466,6832,6832
1527538069,6811,6811
1527541668,6795,6795
1527545269,6834,6834
1527548871,6887,6887
1527552473,6908,6908
1527556070,6904,6904
1527559664,6916,6916
1527563268,6934,6934
1527566870,6952,6952
1527570479,6967,6967
1527574065,6977,6977
1527577675,6973,6973
1527581273,6967,6967
1527584877,6958,6958
1527588473,6964,6964
1527592080,6976,6976
1527595671,6963,6963
1527599262,6959,6959
1527602885,7065,7065
1527606491,7331,7331
1527610113,7522,7522
1527613715,7636,7636
1527617326,7730,7730
1527620923,7780,7780
1527624525,7842,7842
1527628123,7855,7855
1527631730,7867,7867
1527635333,7891,7891
1527638934,7889,7889
1527642526,7895,7895
1527646126,7882,7882
1527649729,7881,7881
1527653325,7881,7881
1527656921,7890,7890
1527660519,7923,7923
1527664122,7888,7888
1527667721,7876,7876
1527671307,7849,7849
1527674918,7820,7820
1527678517,7784,7784
1527682117,7779,7779
1527685714,7760,7760
1527689315,7736,7736
1527692916,7706,7706
1527696516,7695,7695
1527700112,7700,7700
1527703711,7691,7691
1527707308,7680,7680
1527710904,7635,7635
1527714507,7621,7621
1527725224,7605,7605
1527732503,7564,7564
1527736096,7551,7551
1527739707,7552,7552
1527743300,7538,7538
1527746900,7533,7533
1527750499,7533,7533
1527754104,7534,7534
1527757692,7516,7516
1527761301,7510,7510
1527764899,7526,7526
