DateTime,Entries,UniqueIPs
1527376128,4898,4898
1527379727,4887,4887
1527379727,4887,4887
1527379727,4887,4887
1527383326,4879,4879
1527383326,4879,4879
1527386929,4878,4878
1527386929,4878,4878
1527386929,4878,4878
1527390526,4889,4889
1527390526,4889,4889
1527390526,4889,4889
1527394155,4901,4901
1527394155,4901,4901
1527394155,4901,4901
1527394155,4901,4901
1527397758,4906,4906
1527397758,4906,4906
1527401351,4880,4880
1527404952,4872,4872
1527408555,4860,4860
1527412150,4873,4873
1527415747,4863,4863
1527419318,4861,4861
1527422935,4864,4864
1527426544,4849,4849
1527430139,4847,4847
1527433733,4853,4853
1527437336,4866,4866
1527440935,4879,4879
1527444534,4867,4867
1527448133,4862,4862
1527451732,4841,4841
1527455332,4842,4842
1527458931,4850,4850
1527462531,4847,4847
1527466129,4856,4856
1527469729,4843,4843
1527473333,4843,4843
1527476930,4850,4850
1527480532,4859,4859
1527484122,4882,4882
1527487726,4877,4877
1527491319,4874,4874
1527494925,4850,4850
1527498527,4846,4846
1527502127,4854,4854
1527505723,4856,4856
1527509319,4856,4856
1527512919,4841,4841
1527516518,4828,4828
1527520114,4828,4828
1527523721,4831,4831
1527527323,4849,4849
1527530929,4837,4837
1527534521,4834,4834
1527538122,4817,4817
1527541720,4802,4802
1527545325,4843,4843
1527548926,4896,4896
1527552528,4917,4917
1527556128,4914,4914
1527559719,4922,4922
1527563325,4941,4941
1527566924,4953,4953
1527570529,4966,4966
1527574130,4975,4975
1527577723,4969,4969
1527581322,4962,4962
1527584925,4953,4953
1527588522,4960,4960
1527592131,4969,4969
1527595722,4958,4958
1527599327,4956,4956
1527602929,5015,5015
1527606534,5137,5137
1527610162,5246,5246
1527613757,5305,5305
1527617365,5353,5353
1527620964,5382,5382
1527624565,5386,5386
1527628165,5385,5385
1527631768,5403,5403
1527635370,5426,5426
1527638973,5419,5419
1527642570,5420,5420
1527646169,5408,5408
1527649765,5413,5413
1527653363,5416,5416
1527656950,5427,5427
1527660552,5473,5473
1527664150,5444,5444
1527667756,5434,5434
1527671352,5403,5403
1527674949,5380,5380
1527678547,5361,5361
1527682151,5366,5366
1527685748,5353,5353
1527689348,5341,5341
1527692965,5328,5328
1527696555,5335,5335
1527700149,5346,5346
1527703746,5347,5347
1527707344,5339,5339
1527710943,5293,5293
1527714542,5278,5278
1527725100,5265,5265
1527732533,5235,5235
1527736131,5227,5227
1527739738,5226,5226
1527743336,5212,5212
1527746933,5211,5211
1527750533,5212,5212
1527754140,5211,5211
1527757736,5192,5192
1527761336,5192,5192
1527764934,5204,5204
1527768555,5229,5229
1527772158,5230,5230
1527775758,5230,5230
1527779335,5219,5219
1527782959,5207,5207
1527786560,5210,5210
1527790156,5146,5146
1527793758,5156,5156
1527797347,5139,5139
1527800954,5128,5128
1527804555,5115,5115
1527808155,5104,5104
1527811754,5121,5121
1527815354,5116,5116
1527818953,5104,5104
1527822552,5101,5101
1527826150,5097,5097
1527829737,5095,5095
1527833336,5098,5098
1527836937,5101,5101
1527840544,5064,5064
1527844175,5049,5049
1527847775,5036,5036
1527851392,5079,5079
1527855003,5128,5128
1527858594,5172,5172
1527862196,5170,5170
1527865787,5178,5178
1527869382,5178,5178
1527873104,5190,5190
1527876701,5185,5185
1527880223,5192,5192
1527883786,5190,5190
1527887378,5192,5192
1527890978,5164,5164
1527894576,5151,5151
1527898174,5151,5151
1527901776,5163,5163
1527905378,5153,5153
1527908978,5151,5151
1527912615,5137,5137
1527912615,5137,5137
1527916203,5139,5139
1527916203,5139,5139
1527919739,5134,5134
1527923341,5147,5147
1527923341,5147,5147
1527923341,5147,5147
1527926945,5154,5154
1527926945,5154,5154
1527926945,5154,5154
1527930539,5170,5170
1527930539,5170,5170
1527930539,5170,5170
1527934140,5160,5160
1527934140,5160,5160
1527934140,5160,5160
1527937770,5141,5141
1527937770,5141,5141
1527937770,5141,5141
1527941379,5134,5134
1527941379,5134,5134
1527941379,5134,5134
1527944988,5147,5147
1527944988,5147,5147
1527944988,5147,5147
1527944988,5147,5147
1527948583,5137,5137
1527948583,5137,5137
1527948583,5137,5137
1527952177,5149,5149
1527952177,5149,5149
1527955764,5142,5142
1527955764,5142,5142
1527955764,5142,5142
1527955764,5142,5142
1527959377,5144,5144
1527959377,5144,5144
1527959377,5144,5144
1527962987,5138,5138
1527962987,5138,5138
1527962987,5138,5138
1527966579,5153,5153
1527966579,5153,5153
1527966579,5153,5153
1527970183,5171,5171
1527970183,5171,5171
1527970183,5171,5171
1527973772,5171,5171
1527973772,5171,5171
1527973772,5171,5171
1527977339,5164,5164
1527977339,5164,5164
1527977339,5164,5164
1527980933,5147,5147
1527980933,5147,5147
1527980933,5147,5147
1527984535,5142,5142
1527984535,5142,5142
1527984535,5142,5142
1527988135,5137,5137
1527988135,5137,5137
1527988135,5137,5137
1527991736,5153,5153
1527991736,5153,5153
1527991736,5153,5153
1527995335,5146,5146
1527995335,5146,5146
1527995335,5146,5146
1527998935,5139,5139
1527998935,5139,5139
1527998935,5139,5139
1528002534,5137,5137
1528002534,5137,5137
1528006134,5162,5162
1528009737,5194,5194
1528013377,5200,5200
1528016978,5202,5202
1528020570,5199,5199
1528024171,5181,5181
1528027771,5164,5164
1528031372,5165,5165
1528034973,5173,5173
1528038567,5172,5172
1528042184,5175,5175
1528045749,5165,5165
1528049341,5167,5167
1528052938,5165,5165
1528056537,5173,5173
1528060178,5180,5180
1528063787,5168,5168
1528067399,5161,5161
1528071000,5142,5142
1528074592,5135,5135
1528078190,5147,5147
1528081787,5144,5144
1528085395,5145,5145
1528088991,5125,5125
1528092600,5129,5129
1528096196,5131,5131
1528099797,5138,5138
1528103397,5139,5139
1528106991,5122,5122
1528110594,5113,5113
1528114184,5104,5104
1528117786,5100,5100
1528121380,5117,5117
1528124932,5115,5115
1528128537,5111,5111
1528132137,5102,5102
1528135736,5091,5091
1528139338,5104,5104
1528142938,5116,5116
1528146539,5130,5130
1528150139,5129,5129
1528153737,5114,5114
1528157335,5104,5104
1528160932,5086,5086
1528164535,5085,5085
1528168135,5091,5091
1528171736,5084,5084
1528175340,5084,5084
1528178937,5077,5077
1528182533,5074,5074
1528186138,5070,5070
1528189735,5073,5073
1528193343,5092,5092
1528196938,5078,5078
1528200537,5068,5068
1528204138,5034,5034
1528207729,5020,5020
1528211326,4974,4974
1528214934,5008,5008
1528218535,5064,5064
1528222146,5081,5081
1528225737,5095,5095
1528229335,5095,5095
1528232933,5110,5110
1528236536,5128,5128
1528240135,5118,5118
1528243736,5112,5112
1528247335,5086,5086
1528250936,5070,5070
1528254530,5079,5079
1528258127,5067,5067
1528261801,5058,5058
1528265334,4986,4986
1528268929,4976,4976
1528272555,4978,4978
1528276152,4987,4987
1528279761,5040,5040
1528283363,5029,5029
1528286963,5022,5022
1528290561,5011,5011
1528294157,4995,4995
1528297755,5013,5013
1528301363,5016,5016
1528304974,5008,5008
1528308584,5078,5078
1528312185,5112,5112
1528315738,5133,5133
1528319340,5145,5145
1528322939,5160,5160
1528326540,5180,5180
1528330138,5187,5187
1528333735,5181,5181
1528337337,5155,5155
1528340933,5153,5153
1528344534,5158,5158
1528348137,5147,5147
1528351737,5159,5159
1528355336,5137,5137
1528358939,5141,5141
1528362535,5155,5155
1528366137,5158,5158
1528369758,5165,5165
1528373356,5136,5136
1528376944,5124,5124
1528380536,5105,5105
1528384132,5101,5101
1528387736,5112,5112
1528391333,5107,5107
1528394933,5108,5108
1528398530,5087,5087
1528402131,5088,5088
1528405733,5094,5094
1528409335,5099,5099
1528412936,5129,5129
1528416535,5110,5110
1528420137,5104,5104
1528423734,5091,5091
1528427334,5075,5075
1528430928,5070,5070
1528434535,5059,5059
1528438136,5064,5064
1528441736,5068,5068
1528445333,5044,5044
1528448962,5045,5045
1528452562,5045,5045
1528456178,5057,5057
1528459782,5059,5059
1528463377,5027,5027
1528466976,5066,5066
1528470559,5046,5046
1528474155,5043,5043
1528477756,5032,5032
1528481361,5030,5030
1528484962,5047,5047
1528488564,5025,5025
1528492164,5016,5016
1528495766,5023,5023
1528499335,5033,5033
1528502937,5039,5039
1528506535,5018,5018
1528510138,5026,5026
1528513742,5007,5007
1528517336,5018,5018
1528520948,5025,5025
1528524550,5036,5036
1528528153,5050,5050
1528531751,5060,5060
1528535341,5011,5011
1528538938,5015,5015
1528542566,5026,5026
1528546149,5049,5049
1528549751,5031,5031
1528553348,5048,5048
1528556925,5033,5033
1528560543,5039,5039
1528564148,5031,5031
1528567746,5018,5018
1528571345,5030,5030
1528574946,5018,5018
1528578546,5002,5002
1528582143,5002,5002
1528585745,4992,4992
1528589344,5020,5020
1528592942,5009,5009
1528596544,4991,4991
1528600143,4996,4996
1528603734,4992,4992
1528607327,4980,4980
1528610926,4967,4967
1528614524,4932,4932
1528618125,4942,4942
1528621726,4919,4919
1528625325,4911,4911
1528628946,4904,4904
1528632547,4907,4907
1528636145,4915,4915
1528639744,4896,4896
1528643344,4903,4903
1528646941,4894,4894
1528650545,4898,4898
1528654144,4899,4899
1528657740,4902,4902
1528661347,4921,4921
1528664942,4906,4906
1528668540,4903,4903
1528672145,4905,4905
1528675742,4907,4907
1528679346,4919,4919
1528682942,4902,4902
1528686542,4909,4909
1528690140,4900,4900
1528693747,4905,4905
