DateTime,Entries,UniqueIPs
1527414964,6183,6183
1527418818,6192,6192
1527420722,6187,6187
1527424562,6190,6190
1527426482,6211,6211
1527430322,6202,6202
1527432244,6211,6211
1527434162,6202,6202
1527436082,6204,6204
1527439922,6213,6213
1527443763,6229,6229
1527447612,6236,6236
1527449522,6223,6223
1527453362,6219,6219
1527457202,6210,6210
1527461765,6173,6173
1527463683,6159,6159
1527467522,6132,6132
1527471603,6132,6132
1527473523,6210,6210
1527475443,6119,6119
1527479282,6114,6114
1527483123,6093,6093
1527487213,6122,6122
1527489124,6146,6146
1527492963,6148,6148
1527494882,6156,6156
1527500642,6148,6148
1527504482,6155,6155
1527508325,6182,6182
1527510243,6155,6155
1527512162,6191,6191
1527514083,6182,6182
1527516009,6189,6189
1527517922,6183,6183
1527519842,6177,6177
1527521762,6216,6216
1527527523,6231,6231
1527529442,6227,6227
1527533282,6220,6220
1527537123,6213,6213
1527539043,6206,6206
1527543602,6177,6177
1527547442,6129,6129
1527551281,6123,6123
1527555123,6105,6105
1527557043,6123,6123
1527558963,6115,6115
1527562807,6103,6103
1527566643,6094,6094
1527570482,6084,6084
1527572402,6108,6108
1527576243,6118,6118
1527580082,6120,6120
1527583922,6138,6138
1527585841,6116,6116
1527593522,6131,6131
1527597363,6152,6152
1527601202,6166,6166
1527605043,6164,6164
1527606962,6177,6177
1527610802,6186,6186
1527615363,6172,6172
1527617282,6175,6175
1527623043,6221,6221
1527624962,6229,6229
1527626882,6217,6217
1527630722,6185,6185
1527634563,6149,6149
1527640322,6121,6121
1527644163,6138,6138
1527646082,6107,6107
1527651843,6103,6103
1527655682,6095,6095
1527659522,6106,6106
1527665282,6107,6107
1527667210,6121,6121
1527669123,6122,6122
1527672963,6145,6145
1527676803,6154,6154
1527680883,6130,6130
1527684722,6150,6150
1527690481,6166,6166
1527692412,6170,6170
1527694322,6193,6193
1527698162,6196,6196
1527702243,6190,6190
1527706082,6207,6207
1527711843,6208,6208
1527713764,6205,6205
1527717614,6193,6193
1527719522,6156,6156
1527723603,6159,6159
1527727443,6113,6113
1527729363,6093,6093
1527731283,6113,6113
1527733203,6093,6093
1527735121,6089,6089
1527738963,6077,6077
1527742811,6080,6080
1527744722,6099,6099
1527746643,6106,6106
1527752403,6102,6102
1527756242,6111,6111
1527760082,6113,6113
1527762002,6119,6119
1527767764,6146,6146
1527771613,6146,6146
1527775444,6168,6168
1527779283,6172,6172
1527783123,6173,6173
1527790802,6175,6175
1527792722,6165,6165
1527794643,6192,6192
1527796563,6194,6194
1527800643,6195,6195
1527802562,6174,6174
1527806404,6127,6127
1527808324,6162,6162
1527812163,6151,6151
1527817923,6195,6195
1527822722,6179,6179
1527824642,6170,6170
1527828482,6155,6155
1527832322,6177,6177
1527836164,6192,6192
1527840017,6220,6220
1527841924,6211,6211
1527843844,6208,6208
1527849603,6221,6221
1527851523,6220,6220
1527853442,6224,6224
1527857282,6224,6224
1527861123,6238,6238
1527863044,6248,6248
1527868811,6265,6265
1527870724,6267,6267
1527874803,6271,6271
1527876722,6265,6265
1527878642,6267,6267
