DateTime,AddedIPs,RemovedIPs
1528603708,110,66
1528604102,58,0
1528604655,114,76
1528605648,85,111
1528606572,115,115
1528607554,79,102
1528607702,45,0
1528608501,86,86
1528609471,139,87
1528610422,75,93
1528611381,176,69
1528612355,105,114
1528613300,84,106
1528614271,131,119
1528614902,64,0
1528615214,82,127
1528616187,74,95
1528617138,125,104
1528618106,118,134
1528618502,49,0
1528619068,108,77
1528620014,95,140
1528620987,116,114
1528621950,86,90
1528622102,64,0
1528622901,95,81
1528623875,87,103
1528624842,112,135
1528625777,197,109
1528626748,98,130
1528627699,77,68
1528628663,71,77
1528629302,185,0
1528629614,67,98
1528630598,97,104
1528631532,90,71
1528632510,102,106
1528632902,141,0
1528633465,93,85
1528634416,74,88
1528635380,118,72
1528636604,246,60
1528637536,100,75
1528638537,90,79
1528639466,81,85
1528640101,100,0
1528640420,100,56
1528641393,74,67
1528642346,94,59
1528643294,81,116
1528643701,36,0
1528644300,85,82
1528645215,64,74
1528646175,92,79
1528647155,79,66
1528647302,53,0
1528648093,109,81
1528649075,52,82
1528650032,87,91
1528650973,116,66
1528651959,95,99
1528652412,72,97
1528652898,64,75
1528653884,106,69
1528654501,47,0
1528654816,77,68
1528655799,89,119
1528656733,70,63
1528657700,82,80
1528658102,53,0
1528658680,94,87
1528659632,82,71
1528660573,97,91
1528661574,66,118
1528661701,54,0
1528662500,60,73
1528663472,78,72
1528664421,106,90
1528666876,174,286
1528667767,45,38
1528668014,72,69
1528668989,72,99
1528669943,138,69
1528670911,56,92
1528671859,69,0
1528672835,64,5
1528673402,47,0
1528673774,62,61
1528674743,70,177
1528675711,61,0
1528676666,116,80
1528677002,57,2137
1528677625,59,239
1528678588,82,116
1528679535,80,0
1528680511,106,192
1528680602,94,0
1528681464,65,0
1528682451,95,270
1528683373,76,0
1528684363,184,175
1528685303,102,79
1528686288,118,89
1528687230,83,80
1528688189,170,0
1528689150,71,169
1528690103,102,4
1528691061,102,145
1528691402,56,0
1528692026,79,10
1528692987,57,164
1528693942,79,0
1528694893,109,55
1528695002,92,0
1528695885,88,239
1528696830,92,72
1528697779,103,0
1528698757,189,170
1528699697,71,15
1528700656,75,74
1528701662,84,188
1528702201,96,0
1528702572,92,0
1528703570,97,226
1528704494,163,0
1528705481,139,188
1528705802,96,0
1528706665,96,100
1528707370,9,6
1528707628,110,85
1528708590,55,71
1528709298,4,4
1528709538,253,92
1528710499,81,89
1528711251,1,2
1528711480,94,96
1528712415,71,101
1528713138,125,0
1528713373,81,79
1528714357,89,76
1528715295,66,70
1528716257,71,92
1528716601,98,0
1528716969,2,1
1528717237,78,85
1528718177,106,86
1528718896,4,0
1528719155,88,81
1528720096,77,87
1528720202,77,0
1528720809,0,5
1528721074,84,63
1528722018,95,90
1528722734,2,5
1528722971,85,0
1528723954,205,192
1528724664,9,9
1528724890,78,0
1528725877,75,178
1528726582,2,15
1528726817,72,0
1528727402,89,0
1528727770,76,99
1528728489,9,3
1528728749,68,161
1528729704,81,65
1528730409,1,0
1528731067,94,93
1528732197,170,51
1528732741,2,13
1528734458,115,163
1528735194,86,5
1528735606,57,141
1528736581,117,67
1528737044,1,8
1528737529,73,90
1528738197,71,26
1528738202,71,0
1528738603,90,88
1528739199,7,1
1528739553,90,62
1528740603,87,112
1528741216,12,8
1528741692,96,79
1528741802,78,0
1528742696,95,73
1528743145,7,17
1528743630,113,88
1528744588,87,77
1528745047,11,0
1528745561,501,104
1528746777,71,64
1528747221,3,1
1528747689,76,102
1528749039,97,159
1528750087,328,78
1528751058,70,123
1528752253,101,0
1528752601,185,0
1528752967,4,0
1528753212,87,0
1528754181,76,77
1528754900,4,4
1528755133,69,78
1528756091,96,74
1528756202,610,0
1528757121,109,68
1528757765,37,83
1528758271,106,144
1528758982,1,0
1528759213,72,0
1528759802,145,0
1528760168,92,63
1528760892,5,7
1528761137,68,64
1528762096,77,72
1528762809,2,3
1528763051,102,61
1528763402,84,2029
1528764017,70,121
1528764757,0,4
1528764972,120,79
1528765932,90,77
1528766651,9,5
1528766897,129,88
1528767002,86,0
1528767870,114,183
1528768832,91,0
1528769773,85,104
1528770488,11,0
1528770751,170,56
1528771692,99,101
1528772411,9,5
1528772656,89,92
1528773627,72,98
1528774201,99,0
1528774570,83,86
1528775542,79,88
1528776303,2,4
1528776511,73,185
1528777454,117,0
1528777802,68,0
1528778167,4,6
1528778411,75,74
1528779382,109,69
1528780102,1,7
1528780331,89,87
1528781287,104,84
1528781401,77,0
1528782011,10,0
1528782279,100,114
1528783223,90,94
1528783935,7,9
1528784178,83,78
1528785152,206,87
1528785859,6,9
1528786091,81,88
1528787055,93,96
1528788029,71,80
1528788602,205,0
1528788969,117,74
1528789692,11,6
1528789942,105,115
1528790912,89,289
1528791615,2,7
1528791856,109,0
1528792201,109,0
1528792811,86,105
1528793526,5,0
1528793786,108,91
1528794735,58,102
1528795450,7,8
1528795689,82,66
1528795802,81,0
1528796669,72,133
1528797374,7,3
1528797619,86,92
1528798582,63,69
1528799288,4,2
1528799560,221,83
1528800495,78,65
1528801456,96,101
1528802425,79,53
1528803138,142,7
1528803370,100,77
1528804341,63,68
1528805051,6,2
1528805311,86,114
1528806253,74,71
1528806602,179,0
1528807212,91,102
1528808186,92,73
1528808899,5,3
1528809137,50,115
1528810090,67,79
1528810202,144,0
1528810808,6,2
1528811067,80,86
1528812019,90,92
1528812735,7,7
1528812969,89,60
1528813954,249,61
1528815409,85,172
1528816330,76,75
1528817300,109,1
1528817401,156,0
1528818276,70,87
1528819232,73,88
1528820190,89,0
1528821158,184,80
1528822093,102,57
1528823066,134,178
1528824028,84,74
1528824602,74,0
1528824975,83,1
1528825953,113,92
1528826920,78,79
1528827858,89,71
1528828202,72,0
1528828816,82,92
1528829790,74,105
1528830747,93,117
1528831694,82,69
1528831802,113,0
1528832686,84,85
1528833630,80,66
1528834579,111,90
1528835552,174,77
1528836518,75,55
1528837477,65,67
1528838421,69,1
1528839002,79,0
1528839374,82,67
1528840352,69,100
1528841295,80,65
1528842261,118,81
1528842602,106,0
1528843234,101,78
1528844174,95,107
1528845134,81,76
1528846113,83,84
1528846202,72,0
1528847063,96,65
1528848032,96,81
1528849036,81,57
1528849958,160,3488
1528850895,85,68
1528851863,122,107
1528852831,112,107
1528853402,69,0
1528853779,108,150
1528854731,101,89
1528855719,111,86
1528856657,104,93
1528857002,74,0
1528857616,119,104
1528858585,85,77
1528859544,131,82
1528860495,113,81
1528860602,54,0
1528861483,87,84
1528862429,87,85
1528863407,81,77
1528864355,152,124
1528865550,86,94
1528866510,83,94
1528867462,77,69
1528867802,63,0
1528868411,75,127
1528869399,88,103
1528870335,81,93
1528871299,117,103
1528871402,99,0
1528872272,97,115
1528873231,123,85
1528874174,89,82
1528875155,210,86
1528876094,81,131
1528877057,74,110
1528878022,84,63
1528878602,106,0
1528878973,97,127
1528879930,77,85
1528880915,124,118
1528881857,110,77
1528882202,106,0
1528882822,90,81
1528883784,141,72
1528884743,87,86
1528885689,93,86
1528885802,121,0
1528886678,94,106
1528887624,96,94
1528888585,88,91
1528889552,197,91
1528890495,77,96
1528891454,70,61
1528892440,94,93
1528893002,106,0
1528893371,82,97
1528894335,120,83
1528895314,103,89
1528896261,96,54
1528896602,98,0
1528897212,72,99
1528898188,103,88
1528899138,87,84
1528900095,92,96
1528900202,86,0
1528901067,67,88
1528902043,73,81
1528902972,60,57
1528903943,225,89
1528904908,73,66
1528905859,77,67
1528906811,54,95
1528907402,93,0
1528907791,64,95
1528908740,71,86
1528909700,74,70
1528910674,85,82
1528911002,113,0
1528911623,136,199
1528912570,75,125
1528913552,80,62
1528914492,114,101
1528914602,115,0
1528915475,73,87
1528916413,90,69
1528917375,79,101
1528919334,235,177
1528920253,84,77
1528921236,78,108
1528922187,72,88
1528922702,56,0
1528923147,58,83
1528924091,79,61
1528925062,99,74
1528926014,73,72
1528926301,58,0
1528926995,125,115
1528927932,91,67
1528928897,118,81
1528929880,83,75
1528929901,75,0
1528932059,105,196
1528932970,94,91
1528933502,68,0
1528933939,122,88
1528934911,86,98
