DateTime,AddedIPs,RemovedIPs
1527858248,0,57088
1527859202,9,27
1527859502,1280,1280
1527862919,28,9
1527866118,256,256
1527866135,2,9
1527868502,255,256
1527869767,256,256
1527870002,7,12
1527872702,0,1
1527873843,12,3
1527875764,256,255
1527876933,16,15
1527877688,257,256
1527879612,1,0
1527880504,8,2
1527884587,256,256
1527886202,15,1
1527887702,1,0
1527889205,11266,2055
1527891304,9,9
1527896406,5,4
1527898559,256,512
1527898599,23,10
1527902579,8,8
1527906007,6,9
1527909846,5,45
1527912602,0,0
1527914895,13,10
1527917058,20,22
1527919232,0,942682
1527923779,942720,21
1527925202,0,0
1527926432,0,943000
1527929057,943006,9
1527930004,0,0
1527931215,6,0
1527932419,0,99
1527933632,5,1944638
1527934530,0,13
1527935772,0,0
1527937207,0,4096
1527939004,4112,236
1527942031,31,4407
1527943222,1,938880
1527943802,942690,0
1527945375,2076,12809
1527946204,0,0
1527947534,0,370
1527950401,374,3
1527951854,0,0
1527952902,18,4
1527954251,0,0
1527955208,0,0
1527959054,1538,1289
1527960302,2,3
1527961691,0,0
1527965116,9,4
1527966492,0,0
1527967633,3,25
1527968891,0,0
1527973220,7,4371
1527975371,4383,18
1527982347,269,273
1527983118,1,1
1527984735,0,0
1527985943,24,13
1527990320,27,223
1527991935,203,0
1527993011,6,8
1527994330,0,0
1527995102,0,0
1527999133,5,34
1528002302,11,23
1528004176,279,264
1528007403,9,4
1528008311,1,0
1528010118,7,6
1528014251,8,4
1528015802,256,256
1528016702,0,1
1528017603,9,24
1528020902,7,11
1528024502,13,11
1528028102,11,7
1528030805,1024,1280
1528031702,12,12
1528035304,15,12
1528038724,1,0
1528038917,6,6
1528039425,1023,768
1528041002,256,256
1528042570,256,256
1528042907,14,10
1528046406,8,10
1528048331,256,256
1528050246,5,28
1528050611,2,0
1528053795,270,264
1528057358,529,526
1528060520,12,11
1528064119,11,12
1528068207,13,13
1528068609,1,0
1528071902,301,269
1528075205,17,3
1528079044,9,13
1528082702,4,25
1528085702,1,0
1528085744,7,24
1528086228,256,256
1528089314,39,9
1528092004,256,256
1528092899,9,8
1528093378,256,256
1528093809,2,0
1528096907,9,3
1528100405,16,2
1528103714,1,10
1528107297,8,7
1528111202,6,16
1528114469,21,9
1528117203,4864,0
1528118593,7,2
1528121708,4,6
1528122302,1536,1535
1528123448,1,0
1528125369,256,256
1528125602,7,6
1528128249,256,256
1528130164,3,11
1528132502,8,13
1528134321,512,512
1528135502,1001728,0
1528136130,9,6
1528136640,256,256
1528140184,9,31
1528143605,19,11
1528147446,256,256
1528149365,6,19
1528152325,256,256
1528153226,16,7
1528155302,24,6
1528158002,256,256
1528158604,28,11
1528161325,6,5
1528164902,24,4
1528168957,7,43
1528172408,16,10
1528175712,10,3
1528179328,6,5
1528179773,256,256
1528180209,1,0
1528182021,0,2
1528183202,3,4
1528186548,8,4
1528190124,7,10
1528193721,8,2
1528197798,5,5
1528201215,7,13
1528203604,2048,16384
1528204518,4,9
1528207802,1,0
1528208102,15,9
1528211726,6,5
1528215607,4,9
1528216069,1535,1280
1528218914,6,3
1528220702,1,0
1528222507,3,36
1528222943,256,256
1528226102,10,15
1528229728,15,10
1528231204,1,0
1528233340,21,9
1528237502,22,4
1528239605,0,256
1528240805,5,7
1528244190,25,11
1528244645,256,256
1528248485,12,8
1528251902,2,13
1528254941,13,25
1528258526,5,19
1528262402,16,9
1528264502,256,256
1528266301,262,265
1528268167,1,0
1528270087,8,11
1528272933,6,8
1528276528,13,17
1528280585,9,19
1528283732,10,14
1528285445,1,0
1528286702,1,0
1528287366,1,0
1528287808,10,9
1528290005,3584,18688
1528291205,43,10
1528294507,20,10
1528298149,5,4
1528299913,0,2
1528302002,5,4
1528302735,1792,1791
1528305310,6,6
1528308004,0,0
1528309725,260,284
1528313416,9,10
