DateTime,Entries,UniqueIPs
1528667491,64459,9315530
1528668517,64455,9315527
1528668982,64452,9315524
1528669412,64447,9315519
1528670372,64445,9315517
1528671333,64446,9315518
1528672052,64450,9315523
1528672333,64452,9315525
1528672822,64437,9315509
1528673492,64441,9315513
1528674212,64439,9315511
1528674739,64443,9315515
1528674932,64436,9315508
1528675651,64437,9315509
1528676654,64438,9315511
1528677572,64433,9315506
1528678291,64431,9315504
1528678576,64433,9315507
1528678950,64432,9315506
1528679733,64394,9315467
1528680452,64393,9315466
1528681172,64398,9315471
1528681891,64399,9315472
1528682852,64395,9315468
1528683572,64392,9315464
1528684351,64376,9315448
1528685012,64377,9315449
1528685523,64378,9315450
1528686275,64370,9315442
1528686976,64372,9315444
1528687628,64365,9315437
1528688373,64365,9315437
1528689091,64361,9315433
1528689813,64363,9315435
1528690099,64358,9315430
1528690531,64362,9315433
1528691492,64360,9315431
1528692015,64370,9315441
1528692212,64367,9315438
1528692932,64364,9315435
1528693653,64358,9315428
1528693938,64346,9315418
1528694372,64345,9315417
1528695092,64344,9315416
1528695861,64331,9315402
1528696532,64326,9315397
1528697252,64320,9315391
1528697775,64318,9315389
1528697971,64319,9315389
1528698691,64319,9315389
1528699412,64310,9315380
1528699692,64309,9315379
1528700131,64310,9315380
1528700852,64307,9315376
1528701621,64308,9315376
1528702292,64310,9315378
1528703012,64313,9315381
1528703551,64285,9315353
1528703972,64281,9315350
1528704692,64282,9315351
1528705412,64281,9315350
1528706133,64271,9315340
1528707091,64268,9315337
1528707370,64259,9315328
1528707812,64260,9315329
1528708531,64257,9315326
1528709298,64248,9315316
1528709971,64248,9315316
1528710693,64244,9315312
1528711251,64235,9315301
1528711412,64234,9315300
1528712195,64231,9315297
1528712851,64228,9315294
1528713138,64221,9315287
1528713572,64224,9315290
1528714292,64224,9315290
1528715012,64223,9315289
1528715731,64224,9315290
1528716451,64222,9315288
1528716969,64200,9315266
1528717172,64195,9315261
1528717892,64193,9315259
1528718611,64189,9315254
1528718896,64192,9315257
1528719573,64187,9315252
1528720293,64187,9315252
1528720809,64177,9315241
1528721012,64175,9315240
1528721732,64174,9315239
1528722453,64168,9315233
1528722734,64157,9315221
1528723171,64154,9315218
1528723892,64149,9315213
1528724664,64144,9315208
1528725811,64139,9315203
1528726582,64140,9315204
1528727251,64135,9315199
1528727972,64133,9315197
1528728489,64135,9315199
1528728691,64135,9315199
1528729412,64136,9315200
1528730133,64131,9315195
1528730409,64119,9315183
1528731052,64118,9315182
1528731752,64117,9315181
1528732802,64119,9315183
1528734391,64115,9315179
1528735194,64106,9315168
1528736011,64104,9315166
1528737044,64096,9315156
1528737811,64085,9315145
1528738532,64082,9315142
1528739199,64081,9315141
1528739973,64078,9315138
1528740572,64073,9315132
1528741216,64083,9315142
1528742312,64083,9315142
1528743145,64089,9315148
1528743812,64090,9315149
1528744531,64087,9315146
1528745047,64092,9315153
1528745252,64090,9315151
1528745769,64094,9315155
1528745972,64096,9315157
1528746692,64089,9315150
1528747221,64087,9315148
1528747412,64088,9315149
1528748133,64086,9315145
1528748972,64085,9315144
1528749812,64082,9315141
1528750531,64080,9315139
1528751055,64057,9315116
1528751252,64057,9315116
1528751912,64056,9315115
1528752693,64054,9315113
1528752967,64060,9315119
1528753412,64057,9315116
1528754132,64053,9315112
1528754900,64044,9315102
1528755572,64044,9315102
1528756291,64043,9315101
1528757110,64044,9315102
1528757492,64045,9315103
1528758212,64044,9315101
1528758982,64040,9315097
1528759652,64039,9315096
1528760419,64039,9315096
1528760892,64037,9315094
1528761092,64039,9315095
1528761812,64036,9315092
1528762531,64033,9315089
1528762809,64024,9315080
1528763251,64024,9315080
1528763972,64022,9315078
1528764757,64024,9315080
1528765412,64017,9315073
1528766131,64017,9315073
1528766651,64031,9315087
1528766852,64029,9315085
1528767572,64030,9315086
1528768292,64025,9315081
1528768813,64013,9315068
1528769252,64012,9315067
1528769971,64009,9315064
1528770488,63993,9315047
1528770691,63992,9315046
1528771412,63990,9315044
1528772133,63992,9315046
1528772411,64001,9315056
1528772885,64003,9315058
1528773572,64001,9315056
1528774291,64000,9315055
1528775058,64002,9315057
1528775731,64000,9315055
1528776303,63983,9315038
1528776452,63980,9315035
1528777171,63979,9315034
1528777891,63975,9311507
1528778167,63987,9311519
1528778611,63986,9311518
1528779331,63985,9311517
1528780102,63976,9311508
1528780772,63973,9311505
1528781491,63975,9311507
1528782011,63976,9311509
1528782212,63974,9311507
1528782932,63974,9311507
1528783651,63971,9311504
1528783935,63968,9311501
1528784372,63965,9311498
1528785091,63964,9311497
1528785859,63974,9311507
1528786531,63971,9311504
1528787252,63970,9311503
1528787972,63966,9311499
1528788692,63962,9311495
1528789412,63956,9311489
1528789692,63945,9311477
1528790133,63941,9311472
1528790852,63940,9311471
1528791615,63941,9311470
1528792292,63941,9311470
1528793011,63941,9311470
1528793526,63942,9311471
1528793731,63942,9311471
1528794452,63942,9311471
1528795172,63942,9311471
1528795450,63951,9311479
1528795892,63953,9311481
1528796611,63955,9311483
1528797374,63961,9311490
1528798052,63959,9311488
1528798771,63957,9311486
1528799288,63944,9311472
1528799548,63941,9311469
1528800213,63936,9311464
1528800931,63935,9311463
1528801651,63936,9311463
1528802371,63935,9311463
1528803138,63929,9311456
1528803812,63932,9311459
1528804327,63931,9311458
1528804532,63934,9311461
1528805051,63929,9311455
1528805252,63925,9311451
1528805972,63927,9311453
1528806691,63930,9311456
1528807411,63931,9311456
1528808133,63931,9311456
1528808899,63918,9311441
1528809572,63917,9311440
1528810291,63919,9311442
1528810808,63915,9311438
1528811012,63914,9311437
1528811732,63918,9311441
1528812451,63921,9311444
1528812735,63913,9311436
1528813171,63917,9311440
1528813893,63919,9311442
1528815396,63920,9311442
1528816052,63958,9311480
1528816772,63960,9311482
1528817296,63969,9311492
1528817492,63973,9311496
1528818211,63974,9311497
1528818974,63981,9311504
1528819229,63984,9311507
1528819652,63984,9311507
1528820372,63981,9311504
1528821148,63963,9311486
1528821811,63968,9311491
1528822532,63973,9311496
1528823063,63984,9311507
1528823251,63983,9311506
1528823972,63984,9311507
1528824692,63980,9311503
1528824970,63971,9311493
1528825412,63971,9311493
1528826131,63971,9311493
1528826852,63969,9311491
1528827572,63969,9311491
1528828293,63966,9311488
1528828811,63963,9311485
1528829011,63960,9311482
1528829731,63960,9311482
1528830452,63957,9311479
1528830740,63974,9311496
1528831171,63974,9311496
1528831892,63972,9311494
1528832667,63967,9311489
1528833333,63969,9311492
1528833625,63970,9311493
1528834051,63970,9311493
1528834576,63980,9311503
1528834771,63983,9311506
1528835491,63983,9311506
1528836506,63978,9311501
1528837412,63972,9311495
1528838132,63970,9311493
1528838418,63978,9311501
1528838852,63974,9311497
1528839572,63975,9311498
1528840342,63970,9311493
1528841013,63969,9311492
1528841732,63963,9311486
1528842257,63968,9311492
1528842452,63967,9311491
1528843220,63967,9311490
1528843892,63969,9311492
1528844612,63968,9311491
1528845331,63967,9311490
1528846103,63971,9311493
1528846773,63968,9311490
1528847492,63968,9311490
1528848028,63951,9311473
1528848511,63947,9311469
1528849171,63948,9311470
1528849948,63952,9311474
1528850612,63950,9311472
1528851332,63949,9311471
1528851860,63956,9311478
1528852052,63953,9311475
1528852771,63953,9311475
1528853491,63953,9311475
1528853772,63947,9311469
1528854211,63944,9311466
1528854934,63942,9311464
1528855708,63933,9311455
1528855934,63941,9311463
1528856373,63940,9311462
1528857091,63941,9311463
1528857613,63934,9311456
1528857812,63929,9311451
1528858532,63926,9311448
1528859252,63923,9311445
1528859540,63912,9311433
1528859972,63913,9311434
1528860243,63914,9311435
1528860692,63915,9311436
1528861465,63909,9311430
1528862131,63905,9311426
1528862852,63904,9311425
1528863125,63910,9311431
1528863404,63904,9311425
1528863572,63904,9314950
1528864291,63902,9314948
1528865012,63902,9314948
1528865539,63893,9314939
1528865731,63894,9314940
1528866452,63892,9314938
1528867171,63891,9314937
1528867457,63888,9314934
1528867892,63892,9314938
1528868611,63892,9314938
1528869389,63878,9314924
1528870052,63876,9314922
1528870772,63874,9314920
1528871296,63891,9314939
1528871491,63889,9314937
1528872212,63885,9314933
1528872931,63884,9314932
1528873228,63874,9314922
1528873651,63875,9314923
1528874372,63877,9314925
1528875145,63879,9314927
1528876531,63879,9314927
1528877054,63876,9314924
1528877252,63876,9314925
1528877768,63873,9314922
1528877972,63875,9314924
1528878692,63874,9314923
1528878969,63883,9314932
1528879411,63883,9314932
1528880132,63882,9314930
1528880905,63882,9314930
1528881572,63881,9314929
1528882292,63879,9314927
1528882818,63878,9314926
1528883012,63876,9314925
1528883731,63876,9314925
1528884452,63877,9314926
1528884737,63882,9314931
1528885171,63882,9314930
1528885892,63876,9314924
1528886661,63877,9314926
1528887134,63878,9314927
1528887332,63877,9314926
1528888053,63875,9314924
1528888582,63890,9314941
1528888772,63889,9314939
1528889492,63882,9314932
1528890212,63884,9314934
1528890933,63879,9314929
1528891652,63879,9314929
1528892429,63848,9314898
1528893093,63844,9314894
1528893812,63837,9314887
1528894332,63826,9314876
1528894532,63823,9314873
1528895252,63821,9314871
1528895972,63819,9314869
1528896253,63833,9314883
1528896692,63827,9314878
1528897411,63824,9314875
1528898178,63901,9314950
1528898852,63897,9314946
1528899572,63894,9314943
1528900091,63884,9314932
1528900291,63880,9314928
1528901012,63879,9314927
1528902033,63877,9314925
1528902691,63840,9314888
1528903412,63836,9314884
1528903939,63823,9314871
1528904132,63820,9314868
1528904851,63819,9314867
1528905573,63816,9314864
1528905856,63809,9314857
1528906292,63823,9314871
1528907056,63827,9314875
1528907781,63830,9314878
1528908453,63824,9314872
1528909171,63823,9314871
1528909696,63821,9314869
1528909891,63820,9314868
1528910612,63818,9314866
1528911332,63813,9314861
1528911617,63812,9314860
1528912772,63809,9314857
1528913541,63809,9314856
1528914211,63806,9314853
1528914933,63804,9314851
1528915892,63796,9314843
1528916851,63794,9314841
