DateTime,AddedIPs,RemovedIPs
1528489322,14,0
1528491721,21,0
1528492321,2,0
1528492921,9,0
1528494122,2,1
1528495322,5,1
1528497721,2,1
1528498322,2,0
1528500122,8,0
1528501323,7,0
1528502521,1,3
1528503722,2,0
1528504922,14,0
1528506122,7,0
1528506722,4,0
1528507321,3,0
1528508522,2,1
1528509122,1,0
1528509721,3,0
1528510323,1,0
1528510921,3,0
1528511522,17,2
1528512122,16,0
1528513322,5,0
1528513921,3,0
1528515121,2,0
1528515721,1,0
1528516922,4,0
1528518122,3,0
1528518722,1,0
1528520522,1,1
1528522321,2,0
1528522922,11,0
1528523522,2,0
1528524122,13,0
1528524722,3,0
1528525322,2,0
1528526521,1,0
1528528321,4,0
1528530122,16,2
1528530722,4,0
1528531322,1,4
1528531892,5,0
1528534922,2,0
1528536121,3,0
1528536722,4,0
1528537321,8,0
1528537922,1,0
1528538521,2,0
1528539121,6,0
1528540921,2,1
1528541522,13,0
1528542121,4,0
1528543322,3,1
1528543981,7,0
1528544522,1,0
1528545722,3,1
1528546322,3,0
1528546922,11,0
1528547522,6,0
1528548121,1,0
1528549321,5,0
1528550522,7,2
1528551722,1,2
1528552295,29,0
1528552921,4,0
1528554121,15,0
1528555323,7,1
1528556521,4,0
1528557121,3,0
1528557721,4,0
1528560122,2,1
1528561322,9,0
1528561922,2,0
1528562522,3,0
1528563721,4,0
1528564921,6,0
1528566122,1,0
1528567321,5,0
1528567922,5,0
1528568522,7,1
1528569722,3,1
1528570322,2,0
1528570922,5,0
1528572122,1,0
1528573321,1,0
1528573922,1,0
1528574523,1,0
1528575121,2,0
1528575722,4,0
1528576322,11,0
1528576922,3,0
1528577521,7,0
1528578122,4,0
1528578721,1,0
1528580522,9,0
1528581722,0,1
1528582922,3,3
1528583522,3,0
1528584122,3,0
1528585921,8,0
1528587722,12,0
1528588321,1,0
1528588922,2,0
1528590121,3,0
1528591321,1,0
1528592523,1,0
1528593722,2,2
1528594922,2,0
1528596122,4,0
1528597321,1,0
1528598522,1,0
1528599721,3,0
1528600922,1,0
1528603363,2,0
1528603922,1,0
1528604522,7,0
1528606922,4,0
1528607304,5,0
1528607544,14,0
1528608121,3,0
1528608781,8,1
1528609321,5,0
1528609921,3,0
1528612922,3,0
1528613522,1,0
1528614122,1,1
1528614721,3,0
1528615322,1,0
1528615922,6,0
1528616522,11,0
1528617121,2,0
1528617721,3,0
1528618922,15,1
1528620122,7,0
1528621321,1,0
1528621922,3,0
1528624922,3,0
1528626123,6,0
1528627322,4,0
1528628521,2,0
1528629121,2,0
1528629722,9,0
1528630921,3,0
1528632722,1,0
1528633323,2,0
1528633922,1,0
1528634522,6,0
1528635722,1,0
1528636922,2,0
1528638122,7,0
1528638722,13,0
1528639322,14,0
1528640522,3,0
1528641722,6,0
1528642322,2,0
1528642922,3,0
1528645322,3,0
1528645922,1,0
1528646521,3,0
1528647722,2,0
1528648922,6,0
1528650122,1,1
1528651322,5,0
1528652521,4,0
1528653721,5,0
1528656122,1,1
1528657322,25,0
1528658522,24,1
1528659721,8,0
1528660921,5,0
1528662121,6,0
1528663323,12,0
1528664521,4,2
1528666381,7,0
1528666922,7,0
1528668122,1,0
1528668722,8,0
1528669321,1,0
1528669922,1,0
1528670522,16,0
1528671121,4,0
1528671722,1,0
1528672921,7,0
1528674122,2,0
1528675322,5,0
1528675922,8,0
1528676522,2,0
1528677122,1,1
1528677722,1,0
1528678321,3,0
1528680122,6,0
1528680781,3,0
1528681322,12,0
1528682522,13,0
1528683122,2,0
1528683722,4,0
1528684322,7,0
1528684922,9,0
1528686122,6,0
1528686722,8,0
1528687322,3,0
1528688522,2,0
1528689122,3,0
1528689722,5,0
1528690322,5,0
1528690922,6,0
1528691522,4,0
1528692122,2,0
1528693322,14,0
1528694522,2,0
1528695121,3,0
1528695722,2,0
1528696922,9,1
1528698122,1,0
1528699321,2,0
1528699921,4,0
1528700522,5,0
1528701121,5,0
1528701721,5,0
1528702322,1,0
1528702922,7,0
1528703521,1,0
1528704122,6,0
1528704721,4,0
1528705323,7,0
1528706521,10,1
1528707122,3,3
1528707721,4,0
1528708921,3,0
1528711322,24,0
1528712521,10,0
1528713122,14,1
1528713722,14,0
1528714921,7,0
1528716122,8,0
1528717322,13,0
1528718522,1,0
1528719122,7,0
1528719722,2,0
1528720922,8,1
1528721521,1,0
1528722121,2,0
1528723322,1,0
1528724522,5,0
1528725722,4,0
1528726322,18,0
1528726921,17,0
1528727521,15,0
1528728122,7,0
1528729321,15,0
1528729921,2,0
1528730521,6,0
1528731181,6,0
1528731721,7,0
1528732322,2,1
1528734122,10,0
1528734781,5,0
1528735321,3,0
1528735921,3,0
1528736521,1,0
1528737122,1,0
1528737721,15,0
1528738922,6,0
1528739522,3,0
1528740122,8,0
1528740722,4,0
1528741323,4,0
1528741922,2,0
1528743721,1,0
1528744922,2,0
1528746121,3,0
1528747322,1,0
1528747921,5,0
1528748522,3,0
1528749181,3,0
1528749722,3,0
1528750922,1,0
1528752121,4,0
1528753322,2,0
1528753922,3,0
1528754522,1,0
1528758121,3,0
1528759322,1,0
1528760522,1,0
1528761722,4,0
1528762922,4,0
1528763522,2,0
1528764121,26,0
1528764722,7,0
1528765321,1,0
1528767722,3,0
1528768323,1,1
1528768922,8,0
1528771321,2,0
1528771922,2,0
1528773722,1,1
1528774921,8,0
1528775522,4,0
1528776122,5,0
1528777981,1,0
1528778521,1,0
1528779722,4,1
1528780922,12,0
1528782121,7,0
1528782721,7,0
1528784521,1,0
1528785121,2,0
1528785722,1,0
1528786922,5,0
1528788122,10,0
1528789321,0,1
1528790522,2,0
1528791121,1,0
1528792922,5,0
1528794121,8,0
1528795322,1,0
1528796522,16,0
1528797122,5,2
1528797721,3,0
1528798922,1,0
1528800122,4,0
1528800721,1,0
1528801322,6,0
1528802522,4,1
1528804922,1,0
1528805521,14,0
1528806122,6,0
1528806722,2,0
1528807322,2,0
1528808521,14,0
1528809721,5,0
1528810922,5,0
1528811521,2,0
1528812722,10,0
1528813321,1,0
1528815123,4,0
1528815721,6,0
1528816922,2,0
1528817522,1,0
1528818122,11,0
1528819321,8,0
1528819922,3,0
1528820522,1,0
1528821722,4,0
1528822322,1,0
1528822922,2,0
1528824121,3,0
1528825322,2,0
1528827721,2,3
1528828322,16,2
1528828922,1,0
1528830121,3,0
1528830722,7,0
1528831322,1,0
1528832522,6,0
1528833722,3,0
1528834921,3,1
1528835522,3,0
1528836122,2,1
1528836721,1,0
1528837321,2,0
1528838522,0,1
1528839721,1,2
1528840922,6,0
1528842122,4,2
1528843321,2,1
1528843922,5,0
1528844522,8,1
1528845722,7,0
1528846921,3,0
1528848122,2,0
1528849922,5,0
1528850522,1,0
1528851722,4,0
1528852921,2,1
1528853522,1,0
1528854122,4,0
1528855322,1,0
1528855922,1,0
1528856522,2,0
1528858922,11,2
1528859521,1,0
1528860122,3,1
1528860722,1,0
1528861323,0,1
1528862521,2,1
1528863721,1,0
1528864323,12,1
1528864922,6,1
1528865522,12,0
1528866121,2,0
1528867322,6,0
1528868521,7,1
1528869723,1,5
1528870322,11,0
1528870921,5,0
1528871522,1,0
1528872122,12,1
1528873321,11,0
1528874522,14,0
1528875722,6,0
1528876922,6,1
1528877522,8,5
1528878122,15,0
1528878722,2,1
1528879413,6,0
1528879921,1,0
1528880522,4,1
1528881122,17,0
1528881722,4,0
1528882923,0,2
1528883521,3,3
1528884121,4,0
1528885321,3,0
1528887721,1,0
1528888922,6,0
1528890122,2,0
1528891322,2,0
1528891922,1,0
1528892889,253,54
1528893721,9,0
1528894922,13,0
1528895521,0,1
1528896121,22,0
1528897321,2,0
1528898521,1,0
1528899722,4,0
1528900322,3,0
1528900923,1,0
1528901521,2,0
1528902121,4,0
1528903322,1,0
1528904522,2,0
1528905122,6,0
1528905721,6,0
1528906322,11,0
1528906921,12,0
1528908122,6,0
1528908722,4,0
1528909321,3,1
1528910522,1,0
1528911721,1,0
1528912922,1,0
1528914122,2,0
1528914721,4,0
1528914781,1,0
1528915322,2,0
1528916522,17,0
1528917122,25,0
1528918921,2,0
1528919522,1,0
1528920121,1,0
1528921322,4,0
1528922521,9,0
1528923722,2,0
1528924321,9,0
1528924921,6,0
1528925522,2,0
1528926122,1,0
1528929122,2,0
1528931522,1,0
1528932122,4,0
1528933322,4,0
1528934522,3,0
1528936922,6,0
1528938121,12,0
1528938722,3,0
1528939322,2,0
1528940522,5,0
1528944122,4,0
1528944722,6,0
1528947121,2,0
1528947722,2,1
1528948323,20,0
1528948922,7,0
1528950122,11,0
1528951321,5,0
1528952522,3,0
1528953121,2,0
1528954922,2,0
1528955522,3,0
1528956122,1,1
1528957321,3,0
1528957921,3,0
1528959722,2,0
1528960922,8,0
1528961521,2,0
1528962122,3,0
1528962722,3,0
1528963322,5,0
1528964521,11,0
1528965181,2,0
1528965721,1,0
1528966922,14,0
1528968122,8,1
1528968721,10,0
1528969321,3,0
1528970522,3,0
1528971122,1,0
