DateTime,Entries,UniqueIPs
1525264327,5310,5422
1525265290,5309,5421
1525268891,5310,5422
1525280889,5311,5423
1525285210,5310,5422
1525290491,5312,5424
1525309686,5311,5423
1525310172,5312,5424
1525311613,5311,5423
1525312334,5312,5424
1525339211,5313,5425
1525342571,5312,5424
1525343287,5313,5425
1525345454,5314,5426
1525350972,5315,5427
1525360332,5314,5426
1525376891,5316,5428
1525397054,5315,5427
1525397531,5315,5427
1525398245,5316,5428
1525398730,5317,5429
1525400171,5316,5428
1525403289,5317,5429
1525412889,5318,5430
1525416489,5317,5429
1525434966,5318,5430
1525438811,5317,5429
1525443606,5318,5430
1525455364,5319,5431
1525459694,5318,5430
1525461610,5317,5429
1525463046,5314,5426
1525464967,5315,5427
1525470490,5314,5426
1525475305,5325,5437
1525485133,5324,5436
1525486570,5324,5435
1525487055,5323,5434
1525488484,5322,5433
1525488967,5323,5434
1525489926,5322,5433
1525490888,5323,5434
1525491851,5322,5433
1525492327,5321,5432
1525492820,5318,5429
1525494246,5316,5427
1525495212,5314,5425
1525495688,5313,5424
1525496653,5312,5423
1525497606,5311,5422
1525498569,5309,5420
1525499052,5307,5418
1525499526,5306,5417
1525500488,5305,5416
1525500972,5304,5415
1525501931,5301,5412
1525502406,5300,5411
1525503365,5298,5409
1525504330,5297,5408
1525504805,5297,5408
1525505290,5296,5407
1525506971,5295,5406
1525507449,5294,5405
1525507925,5293,5404
1525511770,5292,5403
1525512245,5293,5404
1525522330,5292,5403
1525529772,5293,5404
1525544887,5292,5403
1525549687,5291,5402
1525589048,5289,5400
1525590488,5291,5402
1525607074,5292,5403
1525608969,5293,5404
1525609930,5294,5405
1525620728,5295,5406
1525624808,5294,5405
1525628649,5295,5406
1525633225,5294,5405
1525635847,5294,5405
1525692487,5295,5406
1525694423,5297,5408
1525695373,5298,5409
1525717207,5297,5408
1525722491,5297,5408
1525733293,5298,5409
1525735686,5297,5408
1525742172,5305,5416
1525742645,5309,5420
