DateTime,AddedIPs,RemovedIPs
1527940948,70,1655
1527943307,38,46
1527945472,730,0
1527947627,45,23
1527949543,31,33
1527951944,0,0
1527954346,40,16
1527956975,34,20
1527959106,69,56
1527961735,27,20
1527964144,25,44
1527966542,100,47
1527968942,97,50
1527971100,90,30
1527973271,112,45
1527975413,56,33
1527977831,65,51
1527980221,31,25
1527982422,0,0
1527984789,43,28
1527987170,24,46
1527989591,733,0
1527991982,29,28
1527994470,32,23
1527996825,66,23
1527999201,34,18
1528001592,28,20
1528004240,61,52
1528009231,19,86
1528013053,70,77
1528014980,65,15
1528016891,40,24
1528018829,14,32
1528020736,21,51
1528022649,30,24
1528024820,27,38
1528026728,52,26
1528028650,31,1685
1528030567,40,28
1528032499,814,1
1528034413,57,53
1528036332,45,11
1528038264,38,16
1528040169,34,17
1528042113,31,25
1528044020,31,17
1528045934,35,36
1528048390,45,40
1528050263,39,39
1528052169,33,0
1528054099,42,1
1528056027,89,116
1528057941,50,70
1528059866,56,65
1528061779,44,61
1528063695,25,30
1528066225,25,32
1528068252,25,37
1528070176,32,29
1528072086,31,40
1528074015,773,0
1528075946,12,23
1528077856,19,23
1528079780,29,10
1528081786,12,13
1528083609,22,15
1528085545,16,20
1528087454,21,13
1528089367,26,36
1528091308,20,38
1528093231,23,37
1528095127,36,0
1528097064,37,1
1528098966,47,58
1528100889,50,57
1528102836,85,133
1528104740,35,60
1528106662,53,30
1528108580,28,32
1528110501,41,35
1528112411,42,29
1528114340,43,1915
1528116252,46,31
1528118172,814,0
1528120106,35,58
1528122006,44,28
1528123927,39,32
1528125858,30,45
1528128275,77,62
1528130172,38,29
1528132094,24,35
1528134027,30,25
1528135939,22,13
1528137855,223,3
1528139785,30,5
1528141696,38,59
1528143613,25,22
1528145544,27,68
1528147460,53,49
1528149371,40,21
1528151303,22,25
1528153233,54,64
1528155135,48,54
1528157056,51,37
1528158984,22,33
1528160896,783,1
1528162811,32,57
1528164736,46,28
1528166661,48,31
1528168577,40,43
1528170524,24,20
1528172420,11,42
1528174336,11,31
1528176266,19,34
1528178173,28,28
1528182040,31,20
1528185860,74,76
1528187775,109,64
1528189707,48,45
1528191618,30,20
1528193542,38,21
1528195469,32,31
1528197376,39,30
1528199296,27,54
1528201223,32,1830
1528203140,47,38
1528205053,890,0
1528206969,37,13
1528208904,46,25
1528210828,68,43
1528213720,20,26
1528215620,47,26
1528217546,34,25
1528219457,35,28
1528221374,34,27
1528223296,35,31
1528225234,65,72
1528227151,40,54
1528229312,32,52
1528231226,22,53
1528233142,17,48
1528235552,36,35
1528237466,29,57
1528239730,65,81
1528241546,28,46
1528243457,45,49
1528245370,35,38
1528247303,828,0
1528249213,49,11
1528251136,62,25
1528253063,48,28
1528254969,33,12
1528256898,36,24
1528258813,35,21
1528260727,25,23
1528262660,54,26
1528264566,37,22
1528268411,90,99
1528272261,136,104
1528274166,69,51
1528276102,43,46
