DateTime,Entries,UniqueIPs
1527971100,2865,2865
1527973271,2932,2932
1527973271,2932,2932
1527975413,2955,2955
1527975413,2955,2955
1527977831,2969,2969
1527977831,2969,2969
1527980221,2975,2975
1527980221,2975,2975
1527982422,2991,2991
1527982422,2991,2991
1527984789,3006,3006
1527984789,3006,3006
1527987170,2984,2984
1527987170,2984,2984
1527989591,3717,3717
1527989591,3717,3717
1527991982,3718,3718
1527991982,3718,3718
1527994470,3727,3727
1527994470,3727,3727
1527996825,3770,3770
1527996825,3770,3770
1527999201,3786,3786
1527999201,3786,3786
1528001592,3794,3794
1528001592,3794,3794
1528004240,3803,3803
1528009231,3736,3736
1528013053,3729,3729
1528014980,3779,3779
1528016891,3795,3795
1528018829,3777,3777
1528020736,3747,3747
1528022649,3753,3753
1528024820,3742,3742
1528026728,3768,3768
1528028650,2114,2114
1528030567,2126,2126
1528032499,2939,2939
1528034413,2943,2943
1528036332,2977,2977
1528038264,2999,2999
1528040169,3016,3016
1528042113,3022,3022
1528044020,3036,3036
1528045934,3035,3035
1528048390,3040,3040
1528050263,3040,3040
1528052169,3073,3073
1528054099,3114,3114
1528056027,3087,3087
1528057941,3067,3067
1528059866,3058,3058
1528061779,3041,3041
1528063695,3036,3036
1528066225,3029,3029
1528068252,3017,3017
1528070176,3020,3020
1528072086,3011,3011
1528074015,3784,3784
1528075946,3773,3773
1528077856,3769,3769
1528079780,3788,3788
1528081786,3787,3787
1528083609,3794,3794
1528085545,3790,3790
1528087454,3798,3798
1528089367,3788,3788
1528091308,3770,3770
1528093231,3756,3756
1528095127,3792,3792
1528097064,3828,3828
1528098966,3817,3817
1528100889,3810,3810
1528102836,3762,3762
1528104740,3737,3737
1528106662,3760,3760
1528108580,3756,3756
1528110501,3762,3762
1528112411,3775,3775
1528114340,1903,1903
1528116252,1918,1918
1528118172,2732,2732
1528120106,2709,2709
1528122006,2725,2725
1528123927,2732,2732
1528125858,2717,2717
1528128275,2732,2732
1528130172,2741,2741
1528132094,2730,2730
1528134027,2735,2735
1528135939,2744,2744
1528137855,2964,2964
1528139785,2989,2989
1528141696,2968,2968
1528143613,2971,2971
1528145544,2930,2930
1528147460,2934,2934
1528149371,2953,2953
1528151303,2950,2950
1528153233,2940,2940
1528155135,2934,2934
1528157056,2948,2948
1528158984,2937,2937
1528160896,3719,3719
1528162811,3694,3694
1528164736,3712,3712
1528166661,3729,3729
1528168577,3726,3726
1528170524,3730,3730
1528172420,3699,3699
1528174336,3679,3679
1528176266,3664,3664
1528178173,3664,3664
1528182040,3675,3675
1528185860,3673,3673
1528187775,3718,3718
1528189707,3721,3721
1528191618,3731,3731
1528193542,3748,3748
1528195469,3749,3749
1528197376,3758,3758
1528199296,3731,3731
1528201223,1933,1933
1528203140,1942,1942
1528205053,2832,2832
1528206969,2856,2856
1528208904,2877,2877
1528210828,2902,2902
1528213720,2896,2896
1528215620,2917,2917
1528217546,2926,2926
1528219457,2933,2933
1528221374,2940,2940
