DateTime,AddedIPs,RemovedIPs
1528517702,83,31
1528518602,119,45
1528519501,124,48
1528520402,174,54
1528521302,165,46
1528522201,203,63
1528523101,179,49
1528524001,159,59
1528524902,175,61
1528525801,133,55
1528526701,125,41
1528527602,171,54
1528528502,136,46
1528529401,145,48
1528530302,161,42
1528531202,195,40
1528532102,189,51
1528533002,151,1259
1528533902,121,869
1528534801,167,667
1528535702,154,635
1528536602,198,464
1528537502,126,106
1528538402,151,106
1528539301,131,142
1528540201,115,116
1528541102,134,124
1528542001,197,88
1528542901,157,279
1528543801,164,137
1528544701,156,163
1528545602,116,144
1528546502,134,145
1528547402,159,176
1528548302,151,137
1528549201,191,113
1528550102,97,126
1528551002,148,124
1528551901,158,146
1528552801,151,158
1528553701,159,147
1528554602,169,139
1528555501,196,169
1528556401,201,137
1528557302,206,123
1528558201,173,175
1528559101,174,183
1528560002,205,140
1528560901,190,145
1528561802,161,88
1528562702,161,120
1528563602,196,124
1528564501,175,187
1528565401,156,151
1528566302,164,176
1528567202,272,207
1528568101,137,129
1528569001,101,162
1528569901,165,146
1528570801,134,119
1528571701,164,179
1528572601,147,156
1528573501,125,136
1528574401,109,151
1528575301,105,193
1528576201,120,180
1528577101,72,160
1528578001,117,142
1528578902,171,172
1528579802,140,162
1528580701,96,165
1528581602,115,159
1528582502,136,176
1528583402,112,162
1528584301,93,119
1528586101,179,352
1528587002,97,174
1528587901,79,164
1528588802,91,160
1528589702,86,137
1528590602,111,132
1528591502,115,146
1528592401,102,191
1528593302,108,166
1528594202,143,76
1528595102,111,150
1528596001,91,138
1528596901,127,139
1528597802,160,141
1528598702,127,179
1528599601,115,163
1528600502,101,169
1528601401,127,188
1528602301,131,169
1528603201,152,166
1528604101,174,172
1528605001,165,174
1528605901,160,159
1528606802,214,155
1528607701,152,177
1528608601,175,150
1528609502,183,152
1528610401,217,116
1528611301,202,260
1528612202,226,122
1528613102,186,98
1528614001,225,134
1528614901,184,129
1528615801,218,147
1528616702,255,163
1528617601,193,133
1528618501,187,110
1528619402,280,115
1528620302,203,137
1528621202,192,87
1528622102,157,128
1528623001,188,144
1528623901,168,143
1528624802,207,94
1528625702,144,125
1528626602,139,164
1528627502,248,141
1528628402,156,126
1528629302,154,120
1528630202,152,100
1528631101,148,146
1528632002,174,119
1528632902,226,147
1528633801,172,133
1528634702,160,186
1528635602,209,145
1528636502,167,140
1528637403,105,147
1528638303,138,159
1528639202,222,174
1528640102,260,126
1528641002,388,153
1528641902,312,227
1528642802,253,173
1528643702,353,150
1528644602,366,113
1528645502,350,148
1528646402,340,139
1528647302,392,203
1528648202,395,154
1528649103,360,140
1528650002,362,176
1528650902,335,196
1528651802,584,160
1528652702,322,139
1528653602,303,153
1528654502,231,201
1528655403,190,221
1528656302,147,182
1528657202,168,169
1528658102,123,243
1528659002,232,192
1528659902,198,178
1528660802,205,201
1528661702,179,223
1528662602,122,202
1528663502,123,282
1528664402,135,209
1528666202,255,377
1528667102,155,200
1528668002,146,195
1528668903,144,166
1528669802,98,209
1528670702,80,196
1528671602,70,246
1528672502,80,197
1528673402,103,188
1528674302,97,309
1528675202,98,195
1528676101,105,192
1528677001,172,185
1528677901,143,166
1528678801,180,154
1528679702,193,172
1528680601,173,124
1528681501,152,134
1528682401,173,163
1528683301,184,178
1528684201,202,224
1528685101,210,301
1528686002,132,261
1528686902,155,225
1528687802,148,316
1528688701,133,320
1528689601,273,304
1528690501,293,295
1528691401,322,341
1528692302,269,331
1528693201,312,296
1528694102,150,288
1528695001,184,274
1528695901,156,421
1528696801,493,269
1528697701,384,246
1528698601,358,215
1528699501,300,191
1528700402,193,149
1528701302,154,177
1528702202,486,134
1528703101,435,197
1528704001,241,170
1528704901,175,187
1528705801,212,188
1528706701,166,149
1528707601,206,163
1528708501,239,133
1528709402,282,150
1528710302,192,141
1528711202,222,139
1528712102,195,193
1528713001,228,158
1528713901,213,154
1528714802,145,120
1528715702,162,142
1528716602,163,93
1528717502,348,112
1528718402,354,140
1528719302,303,308
1528720202,354,169
1528721102,262,204
1528722002,171,203
1528722902,155,207
1528723802,428,202
1528724701,388,232
1528725602,382,219
1528726502,176,188
1528727402,162,184
1528728302,143,198
1528729202,133,193
1528730102,265,181
1528731002,387,168
1528731901,376,198
1528733702,554,430
1528734602,294,277
1528735502,278,301
1528736402,287,258
1528737302,157,258
1528738202,195,175
1528739102,162,185
1528740001,355,197
1528740902,417,336
1528741802,391,353
1528742702,318,368
1528743602,302,263
1528744502,108,152
1528745402,163,121
1528746302,127,466
1528747202,408,426
1528748103,346,262
1528749002,304,180
1528749902,278,190
1528750802,147,153
1528751702,203,157
1528752602,187,238
1528753502,153,279
1528754402,231,254
1528755302,273,196
1528756201,158,191
1528757102,133,221
1528758002,149,226
1528758902,151,157
1528759802,150,124
1528760702,159,144
1528761601,176,262
1528762502,140,341
1528763402,296,316
1528764302,199,318
1528765202,254,241
1528766101,186,186
1528767001,187,158
1528767902,217,346
1528768802,230,342
1528769702,254,478
1528770601,332,192
1528771501,384,186
1528772402,290,169
1528773302,242,135
1528774202,232,268
1528775101,205,349
1528776002,218,325
1528776902,207,309
1528777801,321,267
1528778701,244,264
1528779601,243,253
1528780502,233,268
1528781402,297,206
1528782302,330,206
1528783201,253,167
1528784101,275,332
1528785002,257,368
1528785902,267,496
1528786801,228,340
1528787702,196,315
1528788602,243,113
1528789501,324,188
1528790401,227,129
1528791302,306,312
1528792202,272,339
1528793101,375,406
1528794001,284,410
1528794902,291,220
1528795802,358,193
1528796701,275,162
1528797602,230,140
1528798502,214,229
1528799402,200,279
1528800302,232,217
1528801202,210,164
1528802102,191,188
1528803002,185,153
1528803902,246,192
1528804801,222,232
1528805702,229,213
1528806602,224,181
1528807501,197,200
1528808402,223,220
1528809301,213,246
1528810202,256,220
1528811102,222,210
1528812001,212,298
1528812902,233,234
1528813802,209,281
1528814702,136,256
1528815602,149,384
1528816501,185,316
1528817402,207,263
1528818301,169,318
1528819202,221,242
1528820102,181,202
1528821002,205,238
1528821902,341,293
1528822802,152,213
1528823702,203,216
1528824601,182,206
1528825502,225,251
1528826402,288,278
1528827301,215,218
1528828201,148,243
1528829102,182,251
1528830002,155,226
1528830901,121,197
1528831801,111,173
1528832701,141,230
1528833602,108,264
1528834501,109,194
1528835402,122,281
1528836302,127,249
1528837202,136,217
1528838102,119,204
1528839001,277,254
1528839902,136,285
1528840802,280,244
1528841701,167,252
1528842602,108,178
1528843502,117,195
1528844402,118,388
1528845301,152,202
1528846202,144,200
1528847101,149,179
1528848001,219,264
1528848901,121,353
1528849802,195,238
1528850701,184,201
1528851602,150,186
1528852501,139,199
1528853402,167,195
1528854301,141,215
1528855202,226,204
1528856101,203,199
1528857001,186,190
1528857902,169,164
1528858802,165,119
1528859701,159,157
1528860602,96,161
1528861501,159,208
1528862401,135,166
1528863301,179,231
1528864201,197,183
1528865101,242,175
1528866001,233,160
1528866901,141,122
1528867802,202,177
1528868701,191,181
1528869601,223,168
1528870502,179,225
1528871402,215,173
1528872302,269,149
1528873202,228,166
1528874102,219,166
1528875002,265,126
1528875902,206,119
1528876802,216,118
1528877702,187,131
1528878601,276,126
1528879501,288,142
1528880402,174,138
1528881302,220,139
1528882201,258,101
1528883102,263,244
1528884001,141,133
1528884902,140,225
1528885803,345,159
1528886702,218,115
1528887602,161,161
1528888501,176,150
1528889402,144,152
1528890302,288,152
1528891202,195,140
1528892102,176,191
1528893002,386,139
1528893902,1109,201
1528894802,198,221
1528895702,155,158
1528896602,435,163
1528897502,431,188
1528898402,4233,175
1528899302,572,200
1528900202,626,191
1528901102,534,203
1528902002,507,142
1528902903,492,146
1528903802,386,204
1528904702,431,128
1528905602,477,150
1528906502,558,113
1528907402,328,172
1528908303,419,296
1528909203,328,183
1528910103,369,222
1528911003,321,155
1528911903,430,181
1528912803,277,198
1528913703,328,188
1528914603,273,173
1528915502,305,241
1528916402,268,466
1528917303,284,197
1528919103,517,476
1528920003,284,271
1528920902,179,1373
1528921802,188,412
1528922703,265,301
1528923602,269,365
1528924503,418,240
1528925403,340,261
1528926303,267,283
1528927203,341,284
1528928102,234,311
1528929003,220,224
1528929903,294,232
1528931702,415,429
1528932602,158,270
1528933502,137,203
1528934402,218,478
1528935303,495,217
1528936202,445,233
1528937103,357,386
1528938002,375,881
1528938902,405,213
1528939802,353,177
1528940702,418,268
1528941602,162,291
1528942502,103,1922
1528943401,67,881
1528944302,120,577
1528945202,758,522
1528946102,232,453
1528947002,188,497
1528947902,313,402
1528948801,200,390
1528949702,328,313
1528950602,188,479
1528951502,150,296
1528952402,85,440
1528953302,260,331
1528954201,372,303
1528955102,641,267
1528956001,825,228
1528956902,416,246
1528957801,228,393
1528958702,245,363
1528959601,222,331
1528960502,78,266
1528961402,458,323
1528962302,341,278
1528963202,273,310
1528964102,323,284
1528965002,179,706
1528965902,57,235
1528966802,75,237
1528967702,69,961
1528968602,79,538
1528969502,49,480
1528970402,213,524
