DateTime,Entries,UniqueIPs
1528517702,7521,7521
1528518602,7595,7595
1528519501,7671,7671
1528520402,7791,7791
1528521302,7910,7910
1528522201,8050,8050
1528523101,8180,8180
1528524001,8280,8280
1528524902,8394,8394
1528525801,8472,8472
1528526701,8556,8556
1528527602,8673,8673
1528528502,8763,8763
1528529401,8860,8860
1528530302,8979,8979
1528531202,9134,9134
1528532102,9272,9272
1528533002,8164,8164
1528533902,7416,7416
1528534801,6916,6916
1528535702,6435,6435
1528536602,6169,6169
1528537502,6189,6189
1528538402,6234,6234
1528539301,6223,6223
1528540201,6222,6222
1528541102,6232,6232
1528542001,6341,6341
1528542901,6219,6219
1528543801,6246,6246
1528544701,6239,6239
1528545602,6211,6211
1528546502,6200,6200
1528547402,6183,6183
1528548302,6197,6197
1528549201,6275,6275
1528550102,6246,6246
1528551002,6270,6270
1528551901,6282,6282
1528552801,6275,6275
1528553701,6287,6287
1528554602,6317,6317
1528555501,6344,6344
1528556401,6408,6408
1528557302,6491,6491
1528558201,6489,6489
1528559101,6480,6480
1528560002,6545,6545
1528560901,6590,6590
1528561802,6663,6663
1528562702,6704,6704
1528563602,6776,6776
1528564501,6764,6764
1528565401,6769,6769
1528566302,6757,6757
1528567202,6822,6822
1528568101,6830,6830
1528569001,6769,6769
1528569901,6788,6788
1528570801,6803,6803
1528571701,6788,6788
1528572601,6779,6779
1528573501,6768,6768
1528574401,6726,6726
1528575301,6638,6638
1528576201,6578,6578
1528577101,6490,6490
1528578001,6465,6465
1528578902,6464,6464
1528579802,6442,6442
1528580701,6373,6373
1528581602,6329,6329
1528582502,6289,6289
1528583402,6239,6239
1528584301,6213,6213
1528586101,6040,6040
1528587002,5963,5963
1528587901,5878,5878
1528588802,5809,5809
1528589702,5758,5758
1528590602,5737,5737
1528591502,5706,5706
1528592401,5617,5617
1528593302,5559,5559
1528594202,5626,5626
1528595102,5587,5587
1528596001,5540,5540
1528596901,5528,5528
1528597802,5547,5547
1528598702,5495,5495
1528599601,5447,5447
1528600502,5379,5379
1528601401,5318,5318
1528602301,5280,5280
1528603201,5266,5266
1528604101,5268,5268
1528605001,5259,5259
1528605901,5260,5260
1528606802,5319,5319
1528607701,5294,5294
1528608601,5319,5319
1528609502,5350,5350
1528610401,5451,5451
1528611301,5393,5393
1528612202,5497,5497
1528613102,5585,5585
1528614001,5676,5676
1528614901,5731,5731
1528615801,5802,5802
1528616702,5894,5894
1528617601,5954,5954
1528618501,6031,6031
1528619402,6196,6196
1528620302,6262,6262
1528621202,6367,6367
1528622102,6396,6396
1528623001,6440,6440
1528623901,6465,6465
1528624802,6578,6578
1528625702,6597,6597
1528626602,6572,6572
1528627502,6679,6679
1528628402,6709,6709
1528629302,6743,6743
1528630202,6795,6795
1528631101,6797,6797
1528632002,6852,6852
1528632902,6931,6931
1528633801,6970,6970
1528634702,6944,6944
1528635602,7008,7008
1528636502,7035,7035
1528637403,6993,6993
1528638303,6972,6972
1528639202,7020,7020
1528640102,7154,7154
1528641002,7389,7389
1528641902,7474,7474
1528642802,7554,7554
1528643702,7757,7757
1528644602,8010,8010
1528645502,8212,8212
1528646402,8413,8413
1528647302,8602,8602
1528648202,8843,8843
1528649103,9063,9063
1528650002,9249,9249
1528650902,9388,9388
1528651802,9812,9812
1528652702,9995,9995
1528653602,10145,10145
1528654502,10175,10175
1528655403,10144,10144
1528656302,10109,10109
1528657202,10108,10108
1528658102,9988,9988
1528659002,10028,10028
1528659902,10048,10048
1528660802,10052,10052
1528661702,10008,10008
1528662602,9928,9928
1528663502,9769,9769
1528664402,9695,9695
1528666202,9573,9573
1528667102,9528,9528
1528668002,9479,9479
1528668903,9457,9457
1528669802,9346,9346
1528670702,9230,9230
1528671602,9054,9054
1528672502,8937,8937
1528673402,8852,8852
1528674302,8640,8640
