DateTime,AddedIPs,RemovedIPs
1526451635,21,12
1526457036,20,9
1526462435,50,0
1526468435,27,29
1526473835,22,17
1526478635,18,0
1526484040,28,14
1526488834,40,38
1526494235,58,25
1526499635,45,0
1526505035,53,27
1526510435,17,17
1526515835,26,23
1526521234,10,29
1526527235,6,13
1526532035,9,21
1526538035,12,43
1526542835,8,39
1526548235,16,84
1526554235,11,29
1526559035,15,38
1526564436,32,48
1526570435,25,41
1526575245,11,63
1526580635,15,26
1526586036,22,30
1526591436,34,46
1526595034,21,12
1526600436,74,9
1526604636,20,12
1526610040,38,13
1526615439,23,12
1526620838,54,27
1526626237,41,18
1526631637,22,20
1526636435,65,34
1526642436,27,29
1526647836,20,36
1526652635,23,20
1526658635,13,14
1526664036,21,33
1526668836,9,17
1526674235,10,39
1526679636,18,69
1526685035,20,0
1526690436,19,21
1526696435,24,28
1526701835,31,44
1526706634,11,45
1526712636,19,33
1526718035,21,36
1526723435,25,62
1526728235,16,24
1526734236,39,0
1526739035,31,17
1526745035,16,12
1526749835,57,28
1526755835,78,0
1526760635,30,29
1526765437,50,0
1526769635,38,24
1526775036,57,26
1526780437,33,27
1526785835,16,33
1526791235,14,14
1526796635,18,22
1526802634,13,30
1526808035,9,46
1526812836,11,34
1526818235,10,55
1526823635,12,29
1526829035,34,22
1526834435,23,42
1526839835,23,51
1526843433,29,0
1526848235,9,82
1526852435,7,43
1526857837,47,0
1526863235,30,54
1526868635,58,13
1526874036,26,17
1526879435,30,16
1526884835,38,14
1526890837,61,18
1526896236,36,16
1526901635,35,13
1526907036,52,15
1526913035,54,29
1526917835,23,16
1526922636,33,23
1526928635,15,25
1526933435,10,0
1526938836,12,9
1526944835,6,57
1526950236,6,51
1526956235,7,14
1526961035,3,26
1526966437,21,34
1526971235,12,29
1526977236,29,0
1526982637,18,65
1526988037,19,0
1526993436,26,63
1526998835,15,76
1527003636,17,0
1527009036,52,25
1527014436,20,23
1527018033,22,0
1527023436,20,14
1527027034,20,0
1527031836,20,35
1527035433,24,0
1527039635,27,27
1527043835,46,32
1527048636,31,38
1527054635,24,15
1527059454,21,35
1527064836,11,27
1527068433,11,0
1527073835,15,36
1527079236,9,43
1527082834,8,36
1527088235,16,28
1527093637,15,37
1527097233,11,0
1527100835,13,33
1527106236,26,57
