DateTime,AddedIPs,RemovedIPs
1526586034,14,9
1526591434,15,8
1526595031,8,8
1526600433,12,9
1526604633,12,11
1526610035,12,7
1526615435,10,10
1526620835,12,7
1526626235,17,11
1526631634,12,9
1526636433,12,7
1526642433,7,15
1526647834,10,12
1526652633,10,13
1526658633,9,8
1526664033,13,14
1526668833,10,13
1526674233,11,11
1526679634,9,29
1526685032,6,0
1526690433,6,12
1526696433,9,14
1526701832,9,11
1526706632,11,14
1526712633,10,8
1526718033,13,4
1526723432,9,12
1526728233,10,29
1526734234,6,0
1526739033,14,13
1526745033,13,11
1526749832,10,18
1526755833,12,0
1526760633,6,17
1526765434,7,0
1526769633,15,9
1526775033,13,8
1526780434,11,10
1526785833,11,11
1526791233,7,9
1526796632,10,12
1526802632,7,8
1526808033,4,13
1526812834,11,8
1526818233,12,10
1526823633,10,7
1526829032,11,14
1526834432,8,6
1526839833,10,12
1526843431,14,0
1526848232,8,18
1526852433,11,10
1526857834,11,0
1526863232,7,20
1526868632,11,7
1526874033,10,15
1526879432,10,6
1526884833,11,7
1526890834,11,15
1526896234,13,11
1526901633,7,11
1526907033,19,11
1526913033,13,13
1526917833,14,12
1526922634,14,11
1526928633,10,20
1526933433,6,0
1526938833,10,14
1526944833,6,23
1526950233,4,13
1526956233,10,12
1526961033,15,12
1526966435,12,12
1526971232,11,8
1526977233,8,0
1526982633,6,22
1526988034,8,0
1526993434,15,7
1526998833,9,24
1527003633,15,0
1527009034,10,8
1527014433,8,18
1527018030,8,0
1527023433,13,5
1527027031,10,0
1527031834,13,9
1527035431,8,0
1527039633,5,9
1527043833,13,12
1527048633,12,14
1527054633,13,10
1527059452,8,8
1527064833,7,9
1527068430,11,0
1527073833,11,9
1527079233,8,16
1527082831,8,12
1527088233,10,5
1527093635,7,13
1527097231,11,0
1527100833,11,10
1527106234,10,18
1527111634,10,13
1527115231,5,8
1527120633,8,23
1527124230,14,0
1527130233,11,9
1527135034,10,9
1527139833,10,9
1527144033,10,7
1527147632,11,0
1527153634,10,27
1527158432,12,0
1527163834,10,12
1527169833,11,23
1527175233,11,9
1527180033,11,11
1527183032,11,0
1527186634,9,9
1527193831,10,10
1527197434,11,14
1527201031,15,11
1527204633,7,7
1527208230,9,0
1527212433,5,18
1527216634,9,10
1527221433,8,16
1527227433,7,11
1527232233,10,25
1527238233,11,0
1527243033,10,9
1527248435,12,10
1527253834,13,6
1527259833,12,11
1527267632,11,13
1527271834,12,29
1527277234,10,0
1527280833,10,9
1527283833,8,12
1527288033,6,10
1527291031,5,11
1527295233,5,7
1527298830,10,0
1527304833,7,11
1527309635,7,9
1527315632,7,22
1527319833,13,0
1527324033,9,9
1527327631,8,7
1527333033,7,8
1527338434,4,15
1527344433,0,9
1527349233,24,10
1527353433,9,9
1527357633,14,0
1527361833,10,7
1527366633,0,15
1527370232,16,12
1527373834,0,0
1527377431,18,5
1527381033,9,9
1527385235,12,6
1527388831,11,0
1527394233,7,6
1527399634,16,17
1527405035,12,5
1527410433,6,10
1527415834,10,8
1527421234,9,7
1527426633,8,7
1527432035,8,8
1527437434,10,23
1527442234,12,8
1527446434,9,13
1527451834,8,6
1527456634,11,11
1527460834,9,23
1527466233,6,6
1527471633,9,11
1527477034,12,10
1527482434,4,11
1527487833,7,29
1527493233,7,13
1527499233,7,11
1527504033,7,8
1527510033,15,8
1527514234,6,7
1527518434,10,8
1527523833,9,0
1527528634,4,23
1527532834,10,11
1527538234,14,17
1527541832,14,0
1527547234,12,6
1527552634,10,7
1527558633,10,7
1527563433,6,3
1527569434,8,7
1527574833,9,9
1527580234,13,10
1527585634,7,10
1527590434,12,0
1527594031,12,10
1527600033,8,8
1527604834,9,6
1527613232,5,21
1527618034,14,14
1527622834,5,12
1527628234,12,19
1527633635,16,8
1527637231,6,0
1527642633,10,8
1527648637,8,12
1527654033,8,13
1527658834,12,10
1527664234,11,11
1527669634,11,10
1527675034,10,7
1527681035,12,24
1527686433,9,10
1527691234,7,10
1527696634,9,0
1527702034,7,11
1527707435,9,9
1527711032,8,0
1527716434,8,18
1527721834,12,21
1527727235,11,0
1527730832,13,0
1527736234,7,18
1527741634,9,10
1527747634,10,7
1527753034,7,8
1527757834,7,10
1527763234,11,8
1527768633,8,10
1527774035,6,14
1527779434,8,10
1527784236,12,9
1527788435,6,7
1527792635,12,0
1527797435,6,16
1527802838,7,0
1527808234,12,15
1527811832,11,0
1527817236,14,17
1527823236,7,0
1527828634,13,22
1527833434,11,11
1527838234,8,0
1527842436,9,8
1527847834,8,7
1527853834,8,8
1527858633,11,11
1527864034,11,12
1527869434,14,10
1527874235,12,12
1527879035,8,10
1527883234,11,10
1527886832,13,7
1527891034,8,11
1527894632,12,0
1527900035,11,14
1527905433,14,9
1527911433,9,6
1527916834,9,0
1527921633,7,14
1527926434,7,10
1527930031,11,8
1527934234,9,6
1527937832,10,9
1527943234,12,12
1527946832,7,0
1527952234,8,25
1527957634,7,12
1527963033,9,10
1527967834,12,9
1527971432,9,0
1527975034,2,22
1527979234,11,0
1527984634,8,18
1527988232,10,0
1527993634,8,20
1527998434,8,0
1528002031,11,9
1528006234,7,7
1528011034,6,12
1528015233,8,10
1528020035,11,12
1528023632,7,5
1528027834,14,12
1528033233,12,10
1528036832,11,0
1528041634,7,14
1528045232,7,0
1528048834,15,0
1528052432,5,6
1528059633,11,19
1528063233,13,11
1528067434,10,17
1528072233,11,6
1528075832,8,0
1528083032,10,10
1528086633,7,9
1528090232,11,10
1528093834,6,8
1528098034,9,14
1528101632,8,0
1528104634,10,10
1528108833,7,20
1528112431,9,0
1528117834,7,9
1528123234,5,14
1528126232,6,0
1528129834,8,0
1528133432,8,13
1528137636,11,23
1528143034,12,0
1528146632,11,9
1528150234,10,9
1528155635,7,8
1528161034,14,16
1528166435,9,0
1528171833,9,17
1528177834,13,9
1528182634,12,6
1528188034,12,18
1528192834,7,10
1528197035,4,14
1528200632,11,0
1528206034,10,11
1528211434,10,13
1528216835,8,9
1528222234,8,10
1528227035,8,14
1528230632,14,0
1528234234,8,22
1528238434,9,8
1528242031,5,0
1528246834,11,27
1528250431,11,0
1528254633,13,8
1528260035,6,7
1528265434,13,12
1528270834,6,12
1528275636,16,13
1528279834,11,10
1528285234,9,18
1528290034,13,0
1528294235,8,14
1528299634,12,7
1528304435,9,7
1528308032,3,0
1528312234,9,9
1528315232,8,21
1528318835,8,11
1528323034,7,0
1528327834,9,18
1528332034,7,0
1528337434,7,23
1528342834,9,9
1528348234,7,9
1528353034,8,11
1528357234,9,9
1528363234,10,14
1528367435,14,8
1528371635,7,9
1528377034,10,11
1528382436,8,6
1528385432,13,0
1528389034,8,9
1528396232,11,17
1528403432,11,11
1528411232,8,20
1528414835,6,10
1528418431,9,8
1528422034,9,8
1528425632,8,0
1528431034,10,19
1528436435,8,8
1528441834,8,9
1528447236,7,8
1528452634,7,7
1528458634,9,11
1528462835,12,13
1528467034,7,0
1528470632,5,0
1528474234,5,18
1528477232,6,4
1528481434,10,10
1528486835,9,0
1528491634,10,11
1528495231,7,0
1528498835,5,9
1528502432,6,4
1528506635,10,18
1528512034,12,8
1528517434,11,11
1528522834,9,9
1528528233,11,5
1528533636,11,0
1528539633,8,9
1528545034,8,17
1528549834,9,6
1528555834,10,17
1528561235,12,6
1528566035,9,8
1528569632,7,0
1528575035,8,17
1528579835,3,23
1528587031,12,9
1528591234,7,8
1528597235,5,10
1528602034,9,10
1528606834,6,12
1528614632,12,12
1528617634,13,9
1528621834,9,11
1528627235,9,8
1528632635,7,14
1528638034,11,8
1528642834,12,8
1528646432,7,0
1528649435,12,8
1528654235,11,16
1528659035,5,0
1528663235,6,10
1528666832,10,0
1528672234,8,18
1528677634,9,0
1528683034,7,6
1528689034,11,9
1528694435,7,18
1528699234,6,11
1528704635,9,10
1528709434,11,6
1528713032,8,0
1528716634,8,7
1528720834,10,10
1528724431,11,0
1528729234,3,19
1528732232,14,7
1528739431,9,7
1528743634,9,7
1528747232,6,0
1528750835,5,6
1528754432,9,21
1528762232,9,9
1528767034,10,8
1528770631,6,0
1528774234,4,9
1528777232,8,12
1528784432,10,7
1528789234,6,2
1528794035,10,9
1528798235,6,11
1528803035,5,8
1528806632,8,0
1528810235,6,0
1528813833,6,20
1528816834,10,0
1528820432,8,8
1528825235,10,13
1528828832,7,0
1528831834,4,0
1528836035,11,21
1528840835,11,8
1528844433,9,0
1528848034,10,0
1528851633,8,9
1528856434,8,18
1528860634,8,10
1528864232,2,0
1528867834,10,3
1528871432,10,10
1528875034,12,0
1528878632,9,8
1528882234,6,0
1528885832,9,8
1528889434,7,10
1528893032,8,8
1528896034,6,11
1528900235,7,9
1528903832,11,0
1528907435,10,18
1528914632,9,10
1528917635,10,14
1528921233,9,0
1528925434,6,7
1528929032,8,0
1528932634,5,18
1528936232,6,8
1528940435,10,11
1528944033,10,0
1528949434,5,23
1528954234,8,7
1528957832,8,0
1528962034,11,26
1528966835,9,8
1528969832,8,0
