DateTime,AddedIPs,RemovedIPs
1526605687,15,18
1526606169,5,7
1526606647,17,23
1526607125,13,10
1526607606,13,9
1526608088,17,17
1526608566,14,11
1526609049,11,8
1526609529,12,4
1526610008,3,1
1526645050,0,1
1526646985,1,0
1526671208,0,1
1526671686,1,0
1526691849,6,10
1526692325,13,17
1526692811,17,18
1526693285,8,12
1526693767,10,12
1526694245,8,8
1526694729,15,16
1526695210,15,10
1526695688,4,3
1526696169,6,2
1526696646,1,1
1526697850,0,1
1526698326,1,0
1526724729,0,1
1526725205,1,0
1526778486,6,10
1526778970,15,14
1526779444,15,14
1526779929,8,14
1526780407,15,8
1526780890,5,11
1526781365,16,12
1526781847,10,9
1526782325,3,3
1526782810,1,0
1526792889,0,1
1526793366,1,0
1526864645,1,10
1526865125,21,14
1526865613,8,17
1526866087,20,15
1526866567,6,6
1526867049,10,15
1526867529,16,19
1526868016,15,9
1526868485,6,4
1526868967,0,1
1526869448,1,0
1526891528,0,1
1526892491,1,0
1526943137,0,2
1526943619,2,0
1526951292,10,20
1526951769,10,14
1526952245,11,9
1526952731,10,7
1526953210,8,6
1526953687,22,20
1526954169,8,10
1526954650,12,10
1526955613,4,2
1527037928,16,18
1527038412,13,16
1527038890,10,7
1527039366,10,14
1527039851,13,9
1527040329,21,25
1527040824,12,6
1527041287,3,3
1527041767,5,3
1527091448,0,1
1527091925,1,0
1527124086,4,14
1527124571,26,20
1527125046,19,15
1527125527,10,10
1527126009,13,10
1527126490,7,7
1527126965,24,22
1527127692,8,7
1527128169,5,9
1527141127,0,1
1527141613,1,0
1527192018,0,1
1527192487,1,0
1527210488,0,9
1527210968,10,7
1527211445,12,14
1527211929,12,11
1527212406,6,5
1527212887,8,10
1527213364,9,5
1527213849,6,9
1527214328,7,6
1527214807,8,10
1527215293,14,10
1527215766,6,3
1527216246,5,8
1527216729,6,7
1527217206,7,3
1527217688,3,8
1527218170,7,3
1527218647,6,8
1527219128,7,6
1527219605,6,9
1527220086,8,6
1527220566,6,8
1527221050,7,6
1527221527,6,6
1527222010,14,16
1527222489,23,23
1527222965,9,15
1527223449,19,9
1527223927,3,3
1527224416,2,0
1527243126,0,1
1527243609,1,0
1527289450,0,0
1527291860,0,0
1527298576,0,32
1527300253,0,0
1527301454,9,4
1527302656,0,0
1527303854,0,0
1527305053,0,0
1527306256,0,0
1527307697,0,0
1527308894,0,0
1527310334,0,0
1527311778,0,0
1527313453,0,0
1527314896,0,0
1527316095,0,0
1527317055,0,0
1527318976,0,0
1527321375,0,0
1527322334,0,0
1527323534,0,0
1527324736,0,0
1527325936,0,0
1527326893,0,0
1527327859,0,0
1527329301,0,0
1527330496,0,0
1527331454,0,0
1527332657,0,0
1527333857,0,0
1527335057,0,0
1527336255,0,0
1527337475,0,0
1527338655,0,0
1527339854,0,0
1527341054,0,0
1527342972,0,0
1527344178,0,0
1527347055,0,0
1527348978,0,0
1527351379,0,0
1527353296,0,0
1527354976,0,0
1527355952,0,0
1527357375,0,0
1527358575,0,0
1527360495,0,0
1527362174,0,0
1527363137,0,0
1527365775,0,0
1527367216,0,0
1527368659,0,0
1527370095,0,0
1527371775,0,0
1527373225,0,0
1527376095,0,0
1527377776,0,0
1527379242,0,0
1527381854,0,0
1527383056,8,6
1527384493,26,36
1527386174,31,35
1527387377,12,9
1527388574,1,0
1527390254,0,0
1527391217,0,0
1527393375,0,0
1527394573,0,0
1527396493,0,0
1527397453,0,0
1527399616,0,0
1527431289,0,1
1527431765,1,0
1527469688,7,10
1527470164,17,18
1527470649,20,12
1527471125,7,8
1527471607,9,14
1527472088,11,9
1527472566,19,18
1527473046,10,11
1527473526,9,4
1527474006,2,0
1527533766,0,1
1527534245,1,0
1527556085,15,20
1527556568,7,12
1527557048,17,21
1527557524,10,7
1527558008,12,13
1527558485,22,26
1527558967,7,9
1527559446,12,15
1527559925,2,0
1527560407,2,1
1527575765,1,1
1527579127,1,1
1527634088,0,1
1527634567,1,0
1527642248,4,10
1527642725,21,18
1527643205,10,7
1527643684,13,7
1527644167,5,8
1527644649,13,12
1527645124,20,20
1527645609,5,10
1527646088,11,5
1527646564,4,2
1527647044,1,0
1527682324,0,1
1527682821,1,1
1527683285,1,0
1527724085,0,1
1527724566,1,0
1527728885,11,12
1527729370,23,17
1527729843,6,5
1527730330,13,17
1527730805,11,14
1527731287,7,8
1527731764,24,21
1527732250,5,10
1527732725,7,6
1527733207,1,0
1527733688,0,1
1527734165,1,0
1527815046,7,14
1527815525,18,14
1527816009,16,12
1527816486,16,18
1527816964,8,11
1527817446,12,13
1527817927,22,22
1527818414,14,10
1527818887,7,7
1527819368,1,0
1527901685,18,24
1527902170,13,5
1527902647,15,16
1527903124,12,13
1527903608,18,10
1527904089,15,14
1527904565,18,15
1527905049,11,8
1527905526,5,5
1527906010,1,1
1527906487,1,0
1527912739,0,0
1527914897,0,0
1527917060,0,0
1527919235,0,0
1527923782,0,0
1527925456,0,0
1527927855,0,0
1527929060,0,0
1527930256,0,0
1527931217,0,0
1527933634,0,0
1527934582,0,0
1527935775,0,0
1527937227,0,0
1527939375,0,2
1527940832,2,7
1527942049,0,0
1527944174,0,0
1527945378,0,0
1527946576,0,0
1527948500,0,0
1527949458,0,0
1527950658,0,0
1527951857,0,0
1527953056,0,0
1527954254,0,0
1527955455,0,0
1527956895,0,0
1527958097,0,0
1527959057,0,0
1527960497,0,0
1527961694,0,0
1527962897,0,0
1527964099,0,0
1527965295,0,0
1527966495,0,0
1527967695,0,0
1527968894,0,0
1527970096,0,0
1527971056,0,0
1527972255,0,0
1527973222,0,0
1527974178,0,0
1527975373,0,0
1527976577,0,0
1527977776,0,0
1527978976,0,0
1527980175,0,0
1527981378,0,0
1527982373,1,1
1527983535,0,0
1527984737,0,0
1527985942,1,1
1527987135,0,0
1527988334,14,21
1527989538,24,26
1527990735,15,21
1527991938,16,10
1527993200,1,0
1527994333,0,0
1527995537,0,0
1527996780,0,0
1527997936,0,0
1527999136,0,0
1528000337,0,0
1528001539,0,0
1528002737,0,0
1528004179,0,0
1528037765,0,1
1528038244,1,0
1528074244,7,15
1528074725,19,12
1528075208,13,15
1528075684,12,10
1528076165,9,9
1528076645,6,12
1528077126,22,28
1528077614,12,9
1528078328,9,13
1528078804,4,1
1528086004,0,1
1528086485,1,0
1528134965,0,1
1528135450,1,1
1528135928,1,0
1528160646,6,13
1528161125,18,15
1528161605,18,14
1528162087,15,16
1528162567,9,13
1528163049,11,18
1528163525,24,18
1528164022,13,12
1528164486,11,6
1528164964,3,3
1528181528,0,1
1528182023,1,0
1528232645,0,1
1528233129,1,0
1528247287,14,19
1528247765,11,10
1528248251,14,13
1528248725,12,10
1528249206,11,6
1528249686,18,19
1528250165,10,10
1528250889,17,13
1528251364,1,2
1528251844,1,0
1528282086,0,1
1528282566,1,0
1528283047,0,1
1528283527,1,0
1528308014,0,0
1528309729,0,0
1528313420,0,0
1528318776,0,0
1528322754,0,0
1528325301,0,0
1528330065,0,0
1528333256,1,6
1528335373,29,36
1528335849,10,11
1528336324,26,25
1528336810,9,4
1528337288,8,8
1528337765,6,4
1528338245,1,0
1528403290,0,1
1528403764,1,0
1528419845,3,4
1528420326,17,18
1528420808,7,6
1528421285,17,16
1528421766,5,11
1528422246,10,12
1528422724,10,9
1528423218,17,11
1528423685,11,16
1528424164,6,6
1528424645,4,1
1528453685,0,1
1528454165,1,0
1528500246,0,1
1528500727,1,0
1528506244,2,8
1528506729,21,23
1528507205,12,14
1528507686,24,16
1528508165,13,7
1528508648,6,10
1528509124,16,22
1528509612,11,5
1528510085,10,10
1528510572,10,9
1528511045,2,0
1528548489,0,1
1528548973,1,0
1528593125,17,26
1528593610,14,19
1528594085,15,9
1528594564,11,14
1528595046,9,6
1528595535,14,13
1528596015,9,11
1528596486,7,4
1528596967,5,14
1528597445,2,1
1528597928,1,0
1528646648,0,1
1528647125,1,0
1528679046,7,11
1528679525,17,15
1528680015,16,15
1528680490,12,12
1528680967,12,16
1528681445,15,12
1528681928,10,12
1528682428,8,6
1528682886,7,7
1528683367,14,10
1528683844,1,0
1528694409,0,1
1528694887,1,0
1528765688,5,8
1528766165,19,24
1528766644,20,18
1528767135,10,13
1528767604,12,12
1528768330,12,11
1528768809,21,19
1528769288,6,9
1528769765,12,14
1528770244,3,1
1528784643,0,1
1528785127,1,0
1528833622,0,1
1528834086,1,0
1528851846,6,13
1528852326,29,12
1528852810,8,11
1528853285,15,17
1528853765,8,11
1528854249,17,16
1528854725,10,11
1528855212,22,21
1528855691,15,14
1528856164,3,4
1528856644,3,1
1528857125,0,1
1528865526,0,1
1528866018,1,0
1528886164,0,1
1528886647,1,0
1528887128,0,1
1528887606,1,0
1528898645,1,0
1528899128,0,1
1528900086,1,0
1528906805,0,1
1528938246,1,9
1528938724,31,28
1528939207,15,13
1528939687,19,16
1528940164,11,9
1528940645,12,17
1528941127,8,9
1528941626,26,18
1528942086,8,6
1528942564,9,8
1528943044,1,0
