DateTime,Entries,UniqueIPs
1528507921,15437,17400
1528508522,15434,17392
1528509122,15435,17393
1528509721,15435,17393
1528510323,15421,17376
1528510921,15422,17378
1528511522,15420,17376
1528512122,15435,17392
1528513322,15434,17390
1528513921,15436,17392
1528515121,15437,17393
1528515721,15439,17395
1528516922,15426,17377
1528518122,15420,17366
1528518722,15417,17360
1528519322,15416,17359
1528520522,15414,17357
1528521721,15391,17334
1528522321,15390,17333
1528522922,15400,17345
1528523522,15400,17344
1528524122,15400,17343
1528524722,15395,17338
1528525322,15387,17330
1528526521,15386,17329
1528527721,15385,17328
1528528321,15388,17331
1528530122,15396,17337
1528531322,15352,17276
1528531892,15357,17282
1528532521,15357,17279
1528533122,15352,17273
1528533722,15346,17264
1528534922,15348,17266
1528536121,15350,17268
1528537321,15353,17271
1528538521,15353,17271
1528539121,15360,17274
1528540921,15355,17268
1528541522,15354,17267
1528543322,15356,17265
1528543922,15364,17270
1528544522,15365,17271
1528545722,15359,17252
1528546322,15360,17254
1528547522,15360,17254
1528549321,15358,17249
1528550522,15355,17236
1528551722,15348,17221
1528552295,15378,17251
1528552921,15381,17254
1528554121,15381,17249
1528555323,15382,17246
1528556521,15380,17233
1528557121,15383,17236
1528557721,15385,17238
1528558921,15384,17237
1528560122,15382,17234
1528561322,15383,17235
1528561922,15382,17234
1528562522,15383,17235
1528563721,15380,17232
1528564921,15387,17238
1528566122,15387,17238
1528566722,15383,17232
1528567321,15388,17237
1528567922,15393,17242
1528568522,15395,17240
1528569722,15393,17237
1528570322,15392,17236
1528570922,15391,17237
1528572122,15389,17233
1528573922,15385,17229
1528574523,15386,17230
1528575121,15388,17232
1528575722,15383,17226
1528576322,15393,17236
1528576922,15397,17240
1528577521,15401,17244
1528578122,15404,17246
1528579321,15399,17240
1528579921,15395,17234
1528580522,15402,17241
1528581722,15390,17227
1528582321,15388,17225
1528582922,15374,17200
1528583522,15377,17203
1528586522,15349,17168
1528587722,15361,17181
1528588321,15360,17180
1528588922,15354,17172
1528590121,15354,17172
1528591321,15347,17162
1528592523,15347,17161
1528593122,15348,17162
1528593722,15327,17137
1528594922,15324,17132
1528595522,15323,17131
1528596122,15324,17132
1528597321,15325,17133
1528598522,15326,17134
1528599721,15311,17116
1528600922,15309,17111
1528602122,15289,17089
1528603321,15288,17088
1528603922,15289,17089
1528604522,15291,17091
1528605723,15263,17058
1528606922,15254,17048
1528607304,15256,17052
1528607544,15266,17063
1528608121,15269,17067
1528608722,15274,17071
1528609321,15245,17038
1528609921,15248,17041
1528610521,15245,17038
1528611722,15243,17036
1528614122,15235,17027
1528615922,15241,17033
1528616522,15243,17035
1528617121,15243,17035
1528617721,15243,17035
1528618922,15252,17043
1528620122,15247,17038
1528621321,15243,17033
1528621922,15247,17037
1528623122,15244,17034
1528623722,15243,17032
1528624922,15239,17027
1528626123,15244,17032
1528627322,15245,17033
1528628521,15247,17035
1528629121,15244,17032
1528629722,15250,17038
1528630921,15212,16996
1528632122,15209,16993
1528633323,15202,16986
1528633922,15204,16988
1528634522,15204,16988
1528635722,15202,16986
1528636322,15201,16985
1528636922,15203,16987
1528638122,15207,16994
1528638722,15223,17010
1528639322,15234,17027
1528640522,15239,17032
1528641722,15239,17032
1528642322,15242,17035
1528642922,15244,17037
1528644121,15242,17035
1528645322,15239,17032
1528645922,15241,17034
1528646521,15244,17037
1528647722,15246,17039
1528648922,15246,17039
1528650122,15245,17037
1528651322,15249,17041
1528652521,15246,17041
