DateTime,AddedIPs,RemovedIPs
1528534321,80,80
1528534922,80,80
1528536121,75,75
1528537321,64,64
1528538521,78,78
1528539121,80,80
1528539722,80,80
1528540921,53,53
1528541522,75,75
1528542121,69,69
1528543322,52,52
1528543922,79,79
1528544522,60,60
1528545722,74,74
1528546322,80,80
1528546922,80,80
1528547522,79,79
1528548121,80,80
1528549321,80,80
1528550522,72,72
1528551722,77,77
1528552295,80,80
1528552921,80,80
1528554121,76,76
1528555323,69,69
1528556521,80,80
1528557121,80,80
1528557721,80,80
1528558921,80,80
1528560122,80,80
1528561322,80,80
1528561922,80,80
1528562522,75,75
1528563721,80,80
1528564921,64,64
1528566122,49,49
1528566722,80,80
1528567321,79,79
1528567922,78,78
1528568522,80,80
1528569722,80,80
1528570322,80,80
1528570922,76,76
1528572122,63,63
1528573321,59,59
1528573922,80,80
1528574523,79,79
1528575121,80,80
1528575722,80,80
1528576322,80,80
1528576922,80,80
1528577521,67,67
1528578122,80,80
1528579321,73,73
1528579921,78,78
1528580522,71,71
1528581722,79,79
1528582321,80,80
1528582922,80,80
1528583522,80,80
1528584122,80,80
1528585921,80,80
1528586522,67,67
1528587722,80,80
1528588321,80,80
1528588922,80,80
1528589522,80,80
1528590121,69,69
1528591321,69,69
1528592523,71,71
1528593122,78,78
1528593722,11,11
1528594922,38,38
1528595522,80,80
1528596122,80,80
1528597321,34,34
1528598522,71,71
1528599721,80,80
1528600922,56,56
1528602122,70,70
1528603321,80,80
1528603922,80,80
1528604522,80,80
1528605723,52,52
1528606922,49,49
1528607304,72,72
1528607544,80,80
1528608121,80,80
1528608722,79,79
1528609321,80,80
1528609921,80,80
1528610521,80,80
1528611722,21,21
1528612922,75,75
1528614122,79,79
1528615322,67,67
1528615922,80,80
1528616522,80,80
1528617121,77,77
1528617721,80,80
1528618922,73,73
1528620122,66,66
1528621321,66,66
1528621922,79,79
1528622521,80,80
1528623122,79,79
1528623722,74,74
1528624922,66,66
1528626123,71,71
1528627322,80,80
1528628521,80,80
1528629121,80,80
1528629722,80,80
1528630921,80,80
1528632122,79,79
1528633323,29,29
1528633922,80,80
1528634522,77,77
1528635722,20,20
1528636322,48,48
1528636922,77,77
1528637522,69,69
1528638122,80,80
1528638722,80,80
1528639322,80,80
1528640522,24,24
1528641722,22,22
1528642322,80,80
1528642922,80,80
1528644121,63,63
1528645322,73,73
1528645922,80,80
1528646521,80,80
1528647122,80,80
1528647722,80,80
1528648922,80,80
1528650122,40,40
1528651322,51,51
1528652521,76,76
1528653721,64,64
1528654922,25,25
1528656122,11,11
1528657322,80,80
1528658522,80,80
1528659721,80,80
1528660921,79,79
1528662121,76,76
1528663323,67,67
1528664521,79,79
1528666321,80,80
1528666922,80,80
1528668122,75,75
1528668722,80,80
1528669321,80,80
1528669922,80,80
1528670522,78,78
1528671121,80,80
1528671722,78,78
1528672322,80,80
1528672921,80,80
1528674122,71,71
1528675322,80,80
1528675922,80,80
1528676522,79,79
1528677122,80,80
1528677722,80,80
1528678321,78,78
1528678921,79,79
1528680122,69,69
1528680722,80,80
1528681322,80,80
1528682522,76,76
1528683122,54,54
1528683722,71,71
1528684322,78,78
1528684922,80,80
1528685521,80,80
1528686122,80,80
1528686722,80,80
1528687322,80,80
1528687921,75,75
1528688522,79,79
1528689122,72,72
1528689722,77,77
1528690322,72,72
1528690922,77,77
1528691522,80,80
1528692122,79,79
1528693322,77,77
1528694522,53,53
1528695121,71,71
1528695722,80,80
1528696922,80,80
1528698122,26,26
1528699321,78,78
1528699921,80,80
1528700522,80,80
1528701121,80,80
1528701721,74,74
1528702322,80,80
1528702922,80,80
1528703521,44,44
1528704122,80,80
1528704721,75,75
1528705323,79,79
1528706521,69,69
1528707122,80,80
1528707721,80,80
1528708921,80,80
1528710122,72,72
1528711322,80,80
1528712521,80,80
1528713122,80,80
1528713722,74,74
1528714921,73,73
1528716122,74,74
1528717322,72,72
1528718522,76,76
1528719122,79,79
1528719722,80,80
1528720922,76,76
1528721521,80,80
1528722121,80,80
1528723322,80,80
1528724522,80,80
1528725722,80,80
1528726322,80,80
1528726921,79,79
1528727521,80,80
1528728122,80,80
1528729321,80,80
1528729921,80,80
1528730521,79,79
1528731121,80,80
1528731721,80,80
1528732322,80,80
1528734122,52,52
1528734722,80,80
1528735321,80,80
1528735921,80,80
1528736521,76,76
1528737122,80,80
1528737721,79,79
1528738322,76,76
1528738922,80,80
1528739522,80,80
1528740122,78,78
1528740722,80,80
1528741323,80,80
1528741922,80,80
1528742522,80,80
1528743721,68,68
1528744922,80,80
1528746121,76,76
1528747322,66,66
1528748522,80,80
1528749122,75,75
1528749722,79,79
1528750922,80,80
1528752121,78,78
1528753322,78,78
1528753922,80,80
1528754522,41,41
1528755722,80,80
1528756322,80,80
1528756923,80,80
1528757521,80,80
1528758121,80,80
1528759322,80,80
1528759922,23,23
1528760522,13,13
1528761722,39,39
1528762922,66,66
1528763522,80,80
1528764121,80,80
1528764722,80,80
1528765321,80,80
1528766522,64,64
1528767722,80,80
1528768323,69,69
1528768922,80,80
1528770121,77,77
1528771321,56,56
1528771922,80,80
1528772522,80,80
1528773722,80,80
1528774921,80,80
1528775522,80,80
1528776122,68,68
