DateTime,AddedIPs,RemovedIPs
1528435921,1,1
1528438323,0,3
1528440721,5,9
1528441321,0,3
1528442522,3,0
1528443721,4,3
1528446122,6,1
1528446721,8,2
1528447321,4,1
1528448522,9,4
1528449721,0,8
1528450922,2,2
1528451521,0,2
1528452122,0,7
1528454522,0,3
1528455721,2,0
1528456921,4,7
1528458121,1,0
1528459321,0,3
1528460521,1,0
1528461722,0,1
1528462922,5,0
1528464121,2,4
1528464721,1,2
1528465322,7,0
1528465922,1,0
1528466522,0,1
1528467122,1,0
1528468922,1,8
1528471323,3,1
1528472521,4,2
1528473721,1,0
1528474321,6,0
1528474921,1,0
1528475521,2,3
1528476121,1,0
1528477321,0,3
1528478521,2,3
1528479721,3,2
1528480922,8,2
1528482122,4,0
1528482722,4,3
1528484522,7,7
1528485121,1,4
1528486921,6,5
1528488122,5,11
1528489322,4,1
1528490522,3,3
1528491721,22,0
1528492321,6,3
1528492921,9,0
1528494122,3,7
1528495322,3,4
1528496521,2,5
1528497721,11,0
1528498322,2,5
1528498922,2,1
1528500122,1,2
1528501323,7,10
1528502521,3,12
1528503722,2,0
1528504922,3,4
1528506122,3,0
1528507321,1,9
1528507921,1,0
1528508522,2,4
1528509121,2,0
1528510323,1,1
1528510921,3,0
1528511522,13,2
1528512721,0,5
1528513321,3,0
1528516922,6,2
1528517521,1,4
1528518722,2,3
1528519922,0,1
1528520522,0,4
1528521721,1,0
1528522321,1,1
1528524122,12,4
1528524721,2,0
1528525322,4,0
1528525921,0,4
1528526521,1,0
1528527721,2,5
1528528321,3,0
1528530122,10,4
1528530722,4,0
1528531322,1,7
1528531892,1,0
1528532521,0,9
1528533721,4,5
1528534921,5,7
1528536121,2,0
1528536722,4,0
1528537321,3,0
1528537922,1,0
1528538521,0,4
1528539121,1,0
1528540921,2,0
1528541522,13,2
1528542121,6,4
1528542721,1,0
1528543322,2,0
1528543922,1,0
1528544521,1,1
1528546322,1,0
1528546922,13,1
1528547522,4,0
1528548121,2,0
1528549321,7,7
1528550522,5,1
1528551722,1,0
1528552295,1,0
1528552921,0,3
1528554121,15,2
1528555323,5,0
1528556521,3,6
1528557721,3,0
1528558921,0,2
1528560122,0,4
1528561321,9,4
1528561922,5,0
1528562522,2,0
1528563721,5,2
1528566122,0,4
1528566722,0,9
1528567922,0,4
1528568522,2,2
1528569722,4,1
1528570922,2,5
1528572122,1,2
1528573321,2,0
1528573922,0,3
1528575722,6,2
1528576322,4,6
1528578122,3,12
1528578721,3,3
1528579321,0,6
1528580522,1,1
1528581722,8,2
1528582321,4,0
1528582922,4,12
1528584122,3,0
1528585921,9,4
1528586522,1,7
1528587722,3,2
1528588321,1,0
1528588922,1,0
1528589522,0,3
1528590121,2,2
1528591321,0,4
1528592523,1,3
1528593722,2,0
1528594921,2,6
1528595522,0,7
1528596122,0,1
1528597321,0,1
1528598522,0,5
1528599721,3,9
1528600922,4,0
1528602122,0,2
1528603363,4,0
1528603922,2,1
1528604522,1,0
1528605122,1,11
1528605723,3,0
1528606922,4,6
1528607544,3,0
1528608722,0,5
1528609321,1,0
1528609606,2,7
1528610521,0,2
1528611121,1,0
1528611722,4,3
