DateTime,AddedIPs,RemovedIPs
1528515721,5,5
1528516922,11,11
1528517521,5,5
1528518122,13,13
1528518722,11,11
1528519322,3,3
1528519922,1,1
1528520522,4,4
1528521721,6,6
1528522321,4,4
1528522922,7,7
1528524122,14,14
1528524721,7,7
1528525322,8,8
1528525921,3,3
1528526521,6,6
1528527721,12,12
1528528321,11,11
1528528922,2,2
1528530122,17,17
1528530722,7,7
1528531322,12,12
1528531892,8,8
1528532521,3,3
1528533721,13,13
1528534921,11,11
1528536121,8,8
1528536722,6,6
1528537321,5,5
1528537922,3,3
1528538521,3,3
1528539121,6,6
1528539722,6,6
1528540921,6,6
1528541522,15,15
1528542121,10,10
1528542721,6,6
1528543322,8,8
1528543922,4,4
1528544521,4,4
1528545722,6,6
1528546322,9,9
1528546922,17,17
1528547522,9,9
1528548121,7,7
1528549321,19,19
1528550522,12,12
1528551722,4,4
1528552295,6,6
1528552921,5,5
1528554121,17,17
1528555323,10,10
1528556521,7,7
1528557721,8,8
1528558921,8,8
1528560122,6,6
1528561321,17,17
1528561922,9,9
1528562522,7,7
1528563721,20,20
1528564921,8,8
1528566122,5,5
1528566722,4,4
1528567321,4,4
1528567922,3,3
1528568522,4,4
1528569722,8,8
1528570922,7,7
1528572122,3,3
1528573321,9,9
1528573922,4,4
1528574523,6,6
1528575121,5,5
1528575722,14,14
1528576322,4,4
1528576921,3,3
1528578122,12,12
1528578721,13,13
1528579321,3,3
1528580522,9,9
1528581722,17,17
1528582321,8,8
1528582922,14,14
1528584122,7,7
1528585921,14,14
1528586522,2,2
1528587722,9,9
1528588321,8,8
1528588922,3,3
1528590121,4,4
1528591321,3,3
1528592523,7,7
1528593722,4,4
1528594921,10,10
1528595522,1,1
1528596122,3,3
1528597321,4,4
1528598522,4,4
1528599721,9,9
1528600922,13,13
1528601309,1,1
1528602122,5,5
1528603363,9,9
1528603922,6,6
1528604522,3,3
1528605122,8,8
1528605723,6,6
1528606922,6,6
1528607304,4,4
1528607544,11,11
1528608121,7,7
