DateTime,AddedIPs,RemovedIPs
1527137101,128,0
1527140701,116,0
1527144301,116,0
1527147902,147,0
1527151502,149,0
1527155101,121,0
1527158702,120,0
1527162302,147,0
1527165902,128,0
1527169502,124,0
1527173101,129,0
1527176701,98,0
1527180302,114,0
1527183902,120,0
1527187502,121,1
1527191102,210,0
1527194702,84,0
1527198302,88,0
1527201902,111,0
1527205502,75,0
1527209102,95,3736
1527212702,96,0
1527216302,124,0
1527219902,102,0
1527223501,160,0
1527227101,117,0
1527230702,215,0
1527234301,154,0
1527237902,121,0
1527241502,120,0
1527245101,210,0
1527248702,146,0
1527253202,140,0
1527256802,181,0
1527260402,173,0
1527264002,375,0
1527267602,124,0
1527271202,96,0
1527274801,105,0
1527278402,119,0
1527282001,121,0
1527285602,112,0
1527289202,111,0
1527293702,141,3001
1527298202,221,0
1527301801,254,0
1527305402,107,0
1527309902,134,0
1527314402,170,0
1527318902,191,0
1527323402,207,0
1527327001,114,0
1527330602,108,0
1527334202,140,0
1527337802,123,1
1527341402,139,0
1527345002,102,0
1527348602,116,0
1527353102,102,0
1527356702,81,1
1527360301,87,0
1527364829,72,2452
1527368402,2576,0
1527373229,101,2665
1527377402,2792,0
1527381001,55,3472
1527385501,134,0
1527390002,174,0
1527394502,109,0
1527401701,221,0
1527405302,85,0
1527408902,119,0
1527412502,123,0
1527416102,129,0
1527419702,115,0
1527423302,106,0
1527426901,97,0
1527430502,83,0
1527434102,68,0
1527437702,90,0
1527441302,80,0
1527444902,164,0
1527448502,106,0
1527452102,104,0
1527455702,73,0
1527459302,92,0
1527462902,68,0
1527466502,127,2909
1527470101,104,0
1527473702,111,0
1527477301,113,0
1527480901,79,0
1527484501,109,0
1527488102,231,0
1527491701,120,0
1527495302,164,0
1527498902,209,0
1527502502,148,0
1527506102,195,0
1527509702,367,0
1527513302,136,0
1527516902,209,0
1527520502,207,0
1527524102,122,0
1527527702,105,0
1527531301,82,0
1527534902,79,0
1527538502,109,0
1527542101,81,0
1527545701,108,0
1527549302,93,0
1527552901,82,2234
1527556502,99,0
1527560101,96,0
1527563702,98,0
1527567302,103,0
1527570902,110,0
1527574502,150,0
1527578101,142,0
1527581701,196,0
1527585302,131,0
1527588902,136,0
1527592501,157,0
1527596102,137,0
1527599702,141,0
1527603302,161,0
1527606902,129,0
1527610502,129,0
1527614102,131,0
1527617701,135,0
1527621302,122,0
1527624902,112,0
1527628502,98,0
1527632102,102,0
1527635702,106,0
1527639302,86,3338
1527642901,126,0
1527646502,118,0
1527650102,119,0
1527653702,124,0
1527657301,114,0
1527660902,115,0
1527664501,204,0
1527668101,291,0
1527671702,199,0
1527675301,341,0
1527678902,194,0
1527682502,152,0
1527686101,455,0
1527689702,616,0
1527693302,163,0
1527696901,108,0
1527700501,89,0
1527704102,96,0
1527707702,101,0
1527711302,95,0
1527714902,110,0
1527718502,86,0
1527722101,70,0
1527725701,76,3062
1527729301,156,0
1527732902,96,0
1527736502,90,0
1527740102,88,0
1527743701,106,0
1527747302,145,0
1527750901,113,0
1527754502,149,0
1527758102,119,0
1527761701,107,0
1527765302,106,0
1527768901,111,0
1527772501,84,0
1527776102,109,0
1527779701,82,0
1527783302,103,0
1527786902,99,0
1527790501,94,0
1527794101,120,0
1527797701,102,0
1527801301,123,0
1527804902,118,0
1527809402,125,0
1527813002,66,4303
1527816602,80,0
1527820202,114,0
1527823802,90,0
1527827401,102,0
1527831002,101,0
1527834602,394,0
1527838202,107,0
1527841801,116,0
