DateTime,AddedIPs,RemovedIPs
1527280550,1,0
1527284158,0,1
1527286857,8,1
1527289558,0,0
1527291365,0,0
1527294048,5,3
1527295864,0,0
1527298555,0,0
1527299457,0,0
1527301250,4,8
1527302157,0,0
1527303050,0,0
1527304852,0,0
1527305750,0,0
1527307555,0,0
1527308454,5,4
1527310263,1,0
1527311147,0,0
1527312956,0,0
1527314758,1,0
1527315665,2,3
1527316549,0,0
1527317448,0,0
1527318362,0,0
1527320150,0,0
1527321053,0,0
1527321951,0,0
1527322859,1,3
1527324657,0,0
1527325545,0,0
1527326451,0,0
1527327350,0,0
1527329146,0,0
1527330044,3,1
1527330948,0,0
1527331853,0,0
1527333650,0,0
1527334542,0,0
1527335452,0,0
1527337255,8,1
1527338165,0,0
1527339058,0,0
1527340849,0,14
1527341756,0,0
1527342651,0,0
1527343578,0,0
1527345361,1,4
1527346249,0,0
1527348962,0,0
1527350750,0,0
1527352560,4,3
1527354354,0,0
1527355259,0,0
1527357054,0,1
1527357955,0,0
1527359761,4,4
1527361558,0,0
1527362458,0,0
1527364262,0,0
1527365145,0,0
1527366960,3,1
1527367856,0,0
1527369661,0,0
1527371457,0,0
1527374164,1,5
1527375961,0,3
1527377764,0,0
1527378656,0,0
1527380455,3,4
1527381357,0,0
1527382264,0,0
1527384060,0,0
1527385859,0,0
1527386751,0,0
1527388562,1,11
1527389462,0,0
1527391262,0,0
1527392165,0,0
1527393053,0,1
1527393963,0,0
1527394854,5,7
1527395764,0,0
1527396664,0,0
1527397550,0,0
1527399365,0,0
1527402053,3,2
1527409260,0,5
1527416473,5,3
1527422876,0,10
1527423804,0,6
1527426485,2,0
1527427260,27,0
1527430858,1,6
1527437155,1,0
1527438052,4,4
1527440761,2,0
1527445256,4,2
1527450658,1,0
1527452467,0,6
1527457869,0,1
1527460564,0,1
1527464165,0,2
1527466861,1,5
1527470464,0,1
1527474067,2,6
1527474962,0,1
1527477662,1,0
1527478566,1,0
1527480368,1,0
1527481255,6,7
1527488458,2,2
1527495660,1,5
1527502862,5,3
1527507369,1,0
1527509170,5,0
1527510081,3,2
1527514571,0,73
1527517268,6,4
1527524468,5,4
1527531671,5,2
1527538863,2,0
1527544267,1,0
1527546065,3,1
1527551465,0,1
1527553261,1,2
1527555973,0,1
1527560472,3,6
1527567674,5,2
1527568566,1,0
1527574870,4,4
1527582067,2,1
1527589264,2,0
1527596612,5,6
1527600063,4,0
1527601859,3,0
1527603663,11,4
1527610866,2,4
1527615373,0,1
1527617166,1,0
1527618057,4,2
1527625266,1,1
1527632476,1,2
1527638763,0,1
1527639663,4,3
1527645062,0,1
1527646857,2,5
1527654066,6,6
1527654968,3,0
1527655863,3,0
1527656755,1,0
1527661267,3,3
1527668473,3,0
1527675658,3,5
1527682020,0,2
1527682873,18,2
1527686464,0,11
1527688267,0,1
1527690070,2,3
1527697284,1,5
1527704471,6,2
1527707162,0,1
1527711667,9,1
1527718867,6,1
1527720679,0,1
1527726073,0,6
1527733273,3,4
1527735064,0,3
1527740480,4,5
1527744981,1,0
1527747676,3,4
1527754874,2,5
1527756682,1,0
1527762063,2,2
1527769405,4,86
1527772870,3,1
1527776484,5,2
1527779173,0,2
1527782776,0,1
1527783674,3,4
1527790872,3,2
1527798070,6,5
1527798978,0,4
1527799883,0,1
1527803481,0,1
1527805283,3,3
1527806177,0,1
1527807966,1,1
1527810679,0,1
1527811578,0,1
1527812474,8,4
1527819684,12,4
1527820567,0,1
1527825975,2,0
1527826862,5,8
1527829566,0,1
1527834064,4,1
1527837676,1,0
1527841288,3,3
1527845778,0,1
1527848472,5,4
1527855741,5,6
1527856583,10,1
