DateTime,Entries,UniqueIPs
1527279667,1715,1715
1527280550,1716,1716
1527284158,1715,1715
1527286857,1722,1722
1527289558,1722,1722
1527291365,1722,1722
1527294048,1724,1724
1527295864,1724,1724
1527298555,1724,1724
1527299457,1724,1724
1527301250,1720,1720
1527302157,1720,1720
1527303050,1720,1720
1527304852,1720,1720
1527305750,1721,1721
1527307555,1721,1721
1527308454,1722,1722
1527310263,1723,1723
1527311147,1723,1723
1527312956,1723,1723
1527314758,1724,1724
1527315665,1723,1723
1527316549,1723,1723
1527317448,1723,1723
1527318362,1723,1723
1527320150,1723,1723
1527321053,1723,1723
1527321951,1723,1723
1527322859,1721,1721
1527324657,1721,1721
1527325545,1721,1721
1527326451,1721,1721
1527327350,1721,1721
1527329146,1721,1721
1527330044,1723,1723
1527330948,1723,1723
1527331853,1723,1723
1527333650,1723,1723
1527334542,1723,1723
1527335452,1723,1723
1527337255,1730,1730
1527338165,1730,1730
1527339058,1730,1730
1527340849,1716,1716
1527341756,1716,1716
1527342651,1716,1716
1527343578,1716,1716
1527345361,1713,1713
1527346249,1713,1713
1527348962,1713,1713
1527350750,1713,1713
1527352560,1714,1714
1527354354,1714,1714
1527355259,1714,1714
1527357054,1713,1713
1527357955,1713,1713
1527359761,1713,1713
1527361558,1713,1713
1527362458,1713,1713
1527364262,1713,1713
1527365145,1713,1713
1527366960,1715,1715
1527367856,1715,1715
1527369661,1715,1715
1527371457,1715,1715
1527371457,1715,1715
1527374164,1711,1711
1527375961,1708,1708
1527377764,1708,1708
1527378656,1708,1708
1527380455,1707,1707
1527381357,1707,1707
1527382264,1707,1707
1527384060,1707,1707
1527385859,1707,1707
1527386751,1707,1707
1527388562,1697,1697
1527389462,1697,1697
1527391262,1697,1697
1527392165,1697,1697
1527393053,1696,1696
1527393963,1696,1696
1527394854,1694,1694
1527395764,1694,1694
1527396664,1694,1694
1527397550,1694,1694
1527399365,1694,1694
1527402053,1695,1695
1527409260,1690,1690
1527416473,1692,1692
1527422876,1682,1682
1527423804,1676,1676
1527426485,1678,1678
1527427260,1705,1705
1527430858,1700,1700
1527437155,1701,1701
1527438052,1701,1701
1527440761,1703,1703
1527445256,1705,1705
1527450658,1706,1706
1527452467,1700,1700
1527457869,1699,1699
1527460564,1698,1698
1527464165,1696,1696
1527466861,1692,1692
1527470464,1691,1691
1527474067,1687,1687
1527474962,1686,1686
1527477662,1687,1687
1527478566,1688,1688
1527480368,1689,1689
1527481255,1688,1688
1527488458,1688,1688
1527495660,1684,1684
1527502862,1686,1686
