DateTime,Entries,UniqueIPs
1526522594,1102,1204
1526526134,1098,1200
1526529733,1100,1202
1526533335,1101,1203
1526536998,1100,1202
1526544193,1098,1200
1526547796,1099,1201
1526551394,1101,1203
1526554995,1102,1204
1526558595,1100,1202
1526562135,1095,1197
1526565794,1097,1199
1526569396,1096,1198
1526572936,1098,1200
1526576596,1099,1201
1526580194,1100,1202
1526583794,1101,1203
1526590938,1101,1203
1526598194,1099,1201
1526605394,1098,1200
1526608935,1097,1199
1526612539,1093,1195
1526616198,1095,1197
1526619794,1096,1198
1526623395,1097,1199
1526630538,1096,1198
1526634136,1097,1200
1526637734,1098,1201
1526641395,1099,1202
1526648595,1096,1200
1526652198,1098,1202
1526655735,1097,1201
1526659395,1098,1202
1526662996,1099,1203
1526670195,1100,1204
1526673799,1102,1206
1526677335,1103,1207
1526680935,1101,1205
1526684600,1104,1209
1526688199,1105,1210
1526691803,1109,1215
1526695397,1105,1213
1526698998,1107,1215
1526702537,1103,1211
1526706195,1104,1212
1526709796,1107,1216
1526713395,1108,1217
1526716998,1106,1215
1526720601,1105,1214
1526724199,1106,1215
1526727800,1109,1218
1526731400,1112,1221
1526734996,1113,1222
1526738538,1113,1222
1526742136,1114,1223
1526749400,1111,1220
1526752936,1110,1219
1526756596,1108,1217
1526760196,1107,1216
1526767396,1106,1215
1526770996,1106,1215
1526774596,1102,1211
1526778196,1100,1209
1526781796,1101,1210
1526785396,1100,1209
1526788996,1102,1211
1526796197,1103,1212
1526799800,1100,1209
1526806997,1099,1208
1526810536,1101,1210
1526814196,1100,1209
1526817737,1102,1211
1526821338,1102,1211
1526824998,1101,1210
1526828598,1100,1209
1526832196,1102,1211
1526835736,1103,1212
1526839337,1100,1209
1526842937,1098,1207
1526846538,1096,1205
1526850198,1097,1206
1526853798,1097,1206
1526857398,1096,1205
1526864597,1095,1204
1526868197,1093,1202
1526871797,1095,1204
1526875337,1092,1201
1526878998,1094,1203
1526882598,1092,1201
1526886198,1093,1202
1526889799,1092,1201
1526893400,1092,1201
1526893891,1094,1203
1526896950,1101,1211
1526900550,1100,1210
1526907811,1103,1213
1526911415,1099,1209
1526914954,1100,1210
1526916510,1100,1210
1526918551,1096,1206
1526922211,1097,1207
1526925750,1094,1204
1526929350,1097,1207
1526933010,1097,1207
1526936550,1098,1208
1526940211,1097,1207
1526950952,1096,1206
1526954552,1096,1206
1526958152,1090,1200
1526961752,1093,1203
1526965351,1092,1202
1526968952,1088,1198
1526972611,1088,1198
1526976152,1087,1197
1526979811,1088,1198
1526983352,1082,1192
1526994152,1083,1193
1526997811,1081,1191
1527004952,1080,1190
1527008552,1080,1190
1527012151,1081,1191
1527019351,1078,1188
1527022952,1076,1186
1527026612,1077,1187
1527030153,1077,1187
1527040952,1074,1184
1527044613,1076,1186
1527048213,1077,1187
1527055353,1076,1186
1527062554,1075,1185
1527066214,1076,1186
1527069813,1074,1184
1527073413,1071,1181
1527084213,1067,1177
1527091352,1069,1179
1527094953,1065,1175
1527098552,1064,1174
1527102213,1065,1175
1527105753,1065,1175
1527109412,1067,1177
1527116552,1065,1175
1527117692,1064,1174
1527123813,1061,1171
1527127355,1061,1171
1527130953,1063,1173
1527134554,1063,1173
1527138154,1062,1172
1527141754,1063,1174
1527145595,1063,1174
1527153273,1060,1172
1527156217,1061,1173
1527159757,1062,1174
1527167013,1063,1175
1527170553,1062,1174
1527174154,1062,1174
1527177753,1057,1169
1527181413,1059,1171
1527185014,1061,1173
1527192214,1059,1171
1527195755,1061,1173
1527199413,1060,1172
1527202954,1058,1170
1527206615,1058,1170
1527210154,1057,1169
1527213754,1060,1172
1527217354,1059,1171
1527220955,1064,1176
1527224554,1061,1173
1527228214,1060,1172
1527231755,1058,1170
1527239014,1054,1165
1527242555,1055,1166
1527246215,1055,1166
1527253354,1056,1165
1527257015,1056,1165
1527260614,1058,1167
1527264154,1060,1169
1527267815,1062,1171
1527271414,1065,1174
1527274954,1062,1171
1527278554,1063,1172
1527282214,1065,1174
1527285816,1067,1176
1527289355,1065,1174
1527289355,1065,1174
1527289355,1067,1176
1527294009,1064,1173
1527294009,1065,1174
1527296554,1066,1175
1527300155,1064,1173
1527300155,1064,1173
1527300155,1067,1176
1527303815,1065,1174
1527303815,1065,1174
1527303815,1066,1175
1527307354,1064,1173
1527307354,1064,1173
1527307354,1064,1173
1527310955,1062,1171
1527310955,1062,1171
1527314615,1060,1169
1527314615,1060,1169
1527314615,1060,1169
1527314615,1060,1169
1527318155,1061,1170
1527318155,1061,1170
1527318155,1061,1170
1527321756,1060,1169
1527321756,1060,1169
1527321756,1060,1169
1527325355,1060,1169
1527325355,1060,1169
1527325355,1060,1169
1527329017,1059,1168
1527329017,1059,1168
1527329017,1059,1168
1527332556,1057,1166
1527332556,1057,1166
1527332556,1059,1168
1527336156,1058,1167
1527336156,1058,1167
1527336156,1058,1167
1527339756,1056,1165
1527339756,1056,1165
1527339756,1056,1165
1527339756,1056,1165
1527343415,1056,1165
1527948184,1032,1121
1527951784,1031,1120
1527951784,1032,1121
1527951784,1032,1121
1527955383,1031,1120
1527955383,1032,1121
1527955383,1032,1121
1527958983,1031,1120
1527958983,1031,1120
1527958983,1031,1120
1527962584,1029,1118
1527962584,1031,1120
1527962584,1031,1120
1527966183,1031,1120
1527966183,1031,1120
1527966183,1031,1120
1527969785,1031,1120
1527969785,1031,1120
1527969785,1031,1120
1527969785,1031,1120
1527973384,1032,1121
1527973384,1032,1121
1527973384,1032,1121
1527976984,1032,1121
1527976984,1032,1121
1527976984,1032,1121
1527980583,1032,1121
1527980583,1032,1121
1527980583,1032,1121
1527984183,1034,1123
1527984183,1034,1123
1527984183,1034,1123
1527987784,1035,1124
1527987784,1035,1124
1527987784,1035,1124
1527991385,1033,1122
1527991385,1036,1125
1527991385,1036,1125
1527994925,1035,1124
1527994925,1035,1124
1527994925,1035,1124
1527998585,1033,1123
1527998585,1033,1123
1528000443,1033,1123
1528002183,1033,1123
1528002183,1033,1123
1528005783,1034,1124
1528009385,1034,1124
1528016589,1035,1125
1528023785,1037,1127
1528030988,1040,1130
1528034585,1041,1131
1528038186,1037,1127
1528041724,1039,1129
1528045385,1040,1130
1528048984,1038,1128
1528052586,1037,1127
1528056185,1039,1129
1528059785,1041,1131
1528063385,1041,1131
1528066984,1041,1131
1528077124,1041,1131
1528081324,1041,1131
1528084988,1037,1127
1528088586,1036,1126
1528092185,1037,1127
1528095785,1037,1127
1528099385,1038,1128
1528102985,1040,1130
1528110185,1038,1128
1528117385,1040,1130
1528120985,1040,1130
1528124586,1042,1132
1528128187,1044,1134
1528131786,1040,1130
1528135387,1041,1131
1528138987,1044,1134
1528142587,1045,1135
1528149727,1046,1136
1528153385,1047,1137
1528156986,1047,1137
1528160585,1048,1138
1528164185,1044,1134
1528167785,1046,1136
1528171385,1049,1139
1528174265,1051,1141
1528178586,1050,1140
1528185786,1051,1141
1528189387,1050,1140
1528192986,1047,1137
1528196526,1047,1137
1528200188,1046,1136
1528203786,1044,1134
1528207387,1045,1135
1528210987,1045,1135
1528214587,1046,1136
1528218188,1047,1137
1528225386,1045,1135
1528228991,1043,1133
1528232586,1044,1134
1528236187,1045,1135
1528239787,1044,1134
1528243386,1045,1135
1528246987,1045,1135
1528254186,1043,1133
1528257786,1043,1133
1528264987,1041,1131
1528272188,1043,1133
1528275788,1045,1135
1528279327,1046,1136
1528282987,1047,1137
1528286587,1043,1133
1528290187,1043,1133
1528293793,1043,1133
1528297387,1044,1134
1528300988,1042,1132
1528304591,1046,1136
1528308134,1048,1138
1528315387,1049,1139
1528322587,1049,1139
1528322587,1049,1139
1528329787,1050,1140
1528333387,1048,1138
1528336987,1047,1137
1528340588,1048,1138
1528344192,1046,1137
1528347858,1048,1139
1528351333,1050,1141
1528354991,1051,1142
1528358592,1049,1140
1528362193,1052,1143
1528365428,1052,1143
1528372988,1053,1144
1528376528,1053,1144
1528380188,1054,1144
1528383789,1055,1145
1528387388,1057,1147
1528390989,1059,1149
1528394588,1059,1149
1528398190,1059,1148
1528405389,1056,1145
1528416197,1058,1147
1528423389,1057,1146
1528426929,1057,1146
1528430590,1060,1149
1528434195,1058,1147
1528441406,1057,1146
1528444990,1053,1142
1528448590,1048,1137
1528452129,1050,1139
1528455789,1048,1137
1528459389,1047,1136
1528466589,1046,1135
1528470190,1047,1136
1528477389,1045,1134
1528480989,1044,1133
1528484589,1046,1135
1528488190,1045,1134
1528491789,1044,1133
1528495330,1042,1131
1528498991,1041,1130
1528502530,1043,1132
1528506191,1045,1134
1528509790,1044,1133
1528516990,1042,1131
1528524190,1037,1126
1528531334,1035,1124
1528534992,1037,1126
1528538050,1037,1126
1528542191,1038,1127
1528545790,1037,1126
1528549390,1037,1126
1528552991,1038,1127
1528556591,1040,1129
