DateTime,AddedIPs,RemovedIPs
1527019351,1,1
1527022952,1,1
1527026612,1,1
1527030153,2,1
1527037412,0,2
1527040952,1,3
1527044613,2,10
1527048213,3,6
1527051813,0,24
1527055353,4,5
1527058952,0,1
1527062554,0,2
1527066214,1,4
1527069813,5,1
1527073413,4,1
1527079952,1,1
1527091352,2,1
1527094953,0,1
1527098552,1,1
1527102213,2,3
1527105753,3,1
1527109412,3,4
1527112953,1,1
1527116552,0,1
1527117692,0,1
1527127355,1,2
1527130953,3,2
1527134554,4,5
1527138154,2,2
1527141754,4,3
1527145595,2,2
1527148954,1,1
1527153273,3,3
1527156217,1,0
1527159757,2,1
1527163358,0,2
1527167013,1,2
1527170553,2,1
1527174154,4,2
1527177753,4,2
1527181413,2,0
1527185014,2,3
1527188615,2,0
1527192214,1,3
1527195755,2,0
1527202954,0,1
1527206615,1,3
1527210154,1,0
1527213754,3,3
1527217354,3,5
1527220955,5,6
1527224554,2,2
1527228214,1,4
1527235355,1,1
1527239014,3,4
1527242555,1,1
1527246215,1,2
1527249815,1,2
1527253354,2,0
1527257015,2,4
1527260614,2,5
1527264154,4,4
1527267815,2,3
1527271414,4,1
1527274954,3,2
1527278554,2,1
1527282214,4,2
1527285816,5,3
1527289355,3,1
1527294009,1,17
1527296554,19,7
1527300155,1,2
1527303815,2,6
1527307354,4,2
1527310955,1,3
1527314615,1,4
1527318155,1,1
1527321756,0,2
1527325355,1,1
1527329017,2,5
1527332556,0,0
1527336156,2,2
1527339756,0,2
1527343415,2,0
1527346956,1,3
1527350557,2,1
1527354155,2,1
1527357755,0,2
1527361355,2,2
1527365017,0,1
1527368555,1,0
1527375755,3,1
1527379356,1,0
1527383015,0,1
1527386557,1,0
1527390155,0,0
1527393756,2,3
1527397416,1,0
1527400956,2,1
1527404616,1,0
1527405036,0,1
1527411757,3,1
1527415419,1,0
1527429758,1,1
1527433356,3,1
1527436958,1,3
1527440556,1,0
1527444156,2,2
1527447756,0,2
1527451356,1,0
1527458616,0,1
1527462156,0,1
1527469356,1,0
1527472958,1,3
1527476558,1,1
1527480157,4,4
1527483758,2,1
1527487360,1,3
1527490957,0,1
1527492577,0,1
1527494620,0,1
1527498217,1,0
1527501758,5,0
1527505357,2,2
1527509018,1,2
1527512618,2,0
1527516217,2,2
1527519758,3,1
1527523358,3,1
1527526957,2,4
1527530557,1,2
1527534157,2,1
1527541358,2,0
1527545017,2,1
1527548557,1,0
1527552159,1,2
1527555757,1,1
1527559359,0,3
1527563017,4,4
1527566618,1,1
1527570217,1,1
1527573759,3,1
1527577419,0,1
1527580958,0,1
1527584558,0,2
1527588159,4,3
1527591818,3,1
1527595358,3,1
1527599019,2,4
1527602618,2,2
1527606159,2,1
1527609758,1,1
1527613359,2,2
1527616958,0,1
1527620558,1,4
1527624158,1,0
1527627819,3,2
1527631358,1,1
1527634958,1,1
1527638558,3,2
1527645758,1,1
1527649419,4,2
1527652960,2,2
1527656559,1,3
1527660158,1,4
1527663819,1,0
1527667421,1,0
1527670959,1,0
1527674559,1,2
1527678159,1,0
1527681759,2,1
1527685359,1,3
1527688959,1,2
1527692559,0,2
1527696160,0,2
1527699760,2,2
1527703419,3,2
1527707521,2,0
1527710581,10,1
1527714180,3,1
1527717780,2,0
1527720960,0,1
1527724982,1,0
1527728581,1,0
1527732180,1,3
1527735780,1,1
1527739380,3,7
1527742980,1,1
1527746582,2,1
1527753721,0,2
1527757380,1,0
1527760980,2,2
1527764582,3,0
1527768181,4,0
1527771781,2,1
1527775381,3,1
1527778980,2,1
1527782580,1,0
1527786180,2,1
1527789120,2,1
1527793381,2,3
1527796981,2,3
1527800582,1,2
1527804181,2,3
1527807781,3,1
1527811382,2,0
1527814982,2,1
1527818582,10,2
1527822183,2,1
1527825782,2,3
1527829382,2,2
1527833004,2,3
1527836703,2,1
1527840182,1,5
1527843782,1,1
1527847382,4,5
1527850983,2,2
1527854583,4,3
1527861782,4,3
1527865383,3,0
1527868923,2,0
1527872583,6,5
1527876183,3,2
1527879783,1,1
1527883383,1,2
1527886983,1,1
1527890583,1,3
1527894184,3,1
1527897783,2,0
1527904982,0,2
1527908582,2,1
1527912183,3,4
1527915782,0,0
1527922984,7,8
1527926582,1,13
1527930186,0,0
1527933783,1,1
1527937383,0,0
1527940982,5,1
1527944584,4,2
1527948184,2,1
1527951784,2,0
1527955383,1,0
1527958983,0,1
1527962584,1,3
1527966183,3,0
1527969785,1,1
1527973384,1,2
1527976984,2,1
1527980583,0,0
1527984183,2,3
1527987784,1,1
1527991385,1,0
1527994925,2,2
1527998585,3,3
1528000443,1,1
1528002183,0,1
1528005783,2,1
1528009385,2,3
1528016589,2,2
1528020185,1,0
1528023785,3,2
1528030988,3,2
1528034585,3,2
1528038186,0,1
1528041724,2,1
1528045385,1,1
1528048984,2,1
1528052586,1,1
1528056185,2,1
1528059785,2,1
1528063385,2,0
1528066984,2,1
1528070584,0,1
1528077124,1,0
1528081324,1,2
1528084988,1,1
1528088586,1,4
