DateTime,AddedIPs,RemovedIPs
1523644381,1,0
1523651581,0,1
1523659228,2,0
1523665981,1,0
1523669581,0,2
1523683981,0,1
1523691181,0,1
1523698381,0,1
1523709181,2,0
1523712781,0,1
1523723581,1,0
1523727181,2,1
1523730781,1,1
1523745181,2,2
1523759581,0,1
1523766781,1,0
1523770381,1,0
1523773981,0,1
1523777581,1,0
1523781181,1,1
1523795581,1,0
1523799181,0,1
1523802781,0,2
1523806381,0,1
1523863981,1,0
1523867582,1,0
1523874781,1,0
1523878381,0,1
1523896381,2,0
1523899981,0,1
1523907181,0,1
1523914381,1,0
1523921581,1,1
1523925181,1,0
1523932381,0,2
1523943182,1,1
1523946781,0,1
1523950382,0,1
1523961182,0,2
1523968381,0,2
1523971981,0,1
1523975581,0,1
1523979181,0,2
1523989981,0,2
1523997181,0,1
1524025981,0,2
1524036781,0,1
1524051181,1,1
1524065581,2,2
1524076381,1,0
1524079981,0,1
1524087181,0,3
1524090781,0,1
1524094381,0,0
1524101581,1,0
1524105182,0,1
1524112381,0,1
1524115981,0,1
1524123181,0,1
1524159181,1,0
1524162781,1,0
1524184381,0,1
1524191581,1,0
1524198781,0,2
1524205981,0,1
1524220381,0,1
1524245582,0,1
1524263581,0,1
1524295981,0,1
1524299581,0,1
1524310381,0,1
1524313981,0,1
1524317581,1,0
1524328381,0,1
1524339181,0,1
1524342781,1,2
1524360781,1,1
1524378781,1,0
1524382381,1,2
1524389581,0,1
1524400381,3,0
1524403982,6,1
1524421982,1,0
1524425581,1,0
1524443581,0,1
1524454381,1,0
1524461581,0,1
1524468781,1,0
1524472381,0,1
1524475981,1,1
1524479581,0,1
1524501181,2,0
1524519181,2,3
1524522782,1,0
1524526381,0,1
1524533581,1,0
1524537181,1,0
1524547982,1,1
1524555181,1,0
1524573182,0,1
1524576781,1,1
1524583981,0,1
1524587581,2,0
1524630781,0,1
1524641582,0,1
1524648781,0,2
1524663181,1,0
1524677581,1,0
1524684781,0,1
1524706381,0,1
1524709981,0,1
1524720781,0,1
1524735182,0,1
1524742381,2,0
1524745982,0,1
1524749581,3,0
1524760381,1,0
1524774781,1,0
1524778381,0,1
1524796381,0,1
1524799981,0,1
1524807181,0,1
1524828781,1,1
1524864781,1,1
1524871982,2,0
1524911581,0,1
1524915181,0,1
1524925981,1,0
1524929581,0,1
1524933181,0,1
1524936781,1,0
1524965582,0,1
1524969181,1,0
1524972781,0,1
1524990781,0,1
1524997982,0,1
1525015981,1,0
1525019581,2,0
1525026781,1,0
1525030382,0,1
1525037581,1,0
1525041181,1,0
1525055581,0,2
1525059181,1,0
1525066381,0,1
1525095181,1,1
1525099231,1,2
1525145581,0,2
1525170781,0,1
1525181581,2,0
1525185181,0,2
1525213981,0,1
1525224781,0,1
1525231981,0,1
1525246381,0,1
1525253581,0,1
1525303981,0,1
1525311181,1,1
1525314781,0,1
1525321981,1,0
1525347182,0,1
1525354381,0,1
1525365181,0,1
1525368781,1,0
1525426381,0,1
1525433582,0,1
1525444381,0,1
1525498381,0,1
1525519981,2,0
1525523581,11,0
1525530781,3,0
1525534382,1,0
1525541581,1,0
1525563181,0,2
1525566781,1,0
1525570382,0,1
1525573982,0,1
1525577581,0,1
1525599182,0,1
1525606381,1,0
1525617181,1,1
1525642381,2,0
1525649582,3,0
1525653181,2,0
1525660381,1,0
1525663982,0,1
1525667581,0,1
1525671181,1,0
1525685581,0,1
1525696381,1,0
1525699981,0,1
1525703581,1,0
1525725181,0,1
1525728782,0,1
1525732829,0,1
1525743182,0,1
1525757581,0,2
1525761182,1,0
1525764782,0,1
1525771981,0,1
1525786381,0,1
1525789982,1,0
1525793581,0,1
1525797181,0,1
1525800781,1,2
1525807981,0,3
1525815181,0,2
1525840381,0,1
1525847581,0,1
1525858381,0,1
1525865581,0,1
1525879981,0,1
1525901581,0,3
1525912381,0,1
1525930381,1,0
1525941181,0,1
1525944781,0,1
1525951981,0,2
1525955581,0,4
1525969981,0,1
1525977182,0,5
1525984381,0,2
1525992030,0,1
1525995182,0,3
1525998781,0,1
1526005981,0,1
1526013181,0,1
1526016781,0,1
1526023981,0,1
1526031181,0,1
1526034781,0,1
1526038381,0,1
1526041981,1,0
1526045581,0,2
1526049182,1,1
1526056381,0,6
1526059981,1,0
1526063581,0,1
1526070781,0,1
1526077982,0,4
1526106781,1,0
1526113981,2,1
1526146381,3,1
1526160781,0,1
1526167981,0,1
1526182381,0,1
1526185981,0,1
1526189581,0,2
1526196782,0,1
1526211181,0,1
1526214781,0,1
1526229630,0,1
1526232781,0,1
1526247181,0,1
1526272381,0,1
1526286782,0,1
1526304781,0,1
1526308381,0,0
1526344382,0,1
1526380381,0,1
1526387581,0,2
1526419982,1,0
1526441582,0,1
1526473981,1,0
1526484781,0,1
1526495582,1,0
1526506381,0,1
1526531581,0,1
1526549581,0,1
1526567582,0,1
1526571181,0,1
1526585581,0,1
1526610781,0,1
1526617982,2,0
1526621581,1,0
1526635981,0,1
1526643181,1,0
1526661181,1,1
1526664781,0,1
1526668381,0,2
1526686381,1,0
1526689981,0,3
1526707981,0,1
1526725981,1,0
1526736782,1,0
1526740381,0,2
1526747582,1,0
1526751181,3,0
1526758381,3,0
1526769632,0,1
1526787181,0,1
1526805181,2,0
1526808781,1,0
1526819581,1,0
1526841182,1,1
1526862781,0,3
1526880781,0,1
1526884381,0,1
1526895181,0,1
1526902381,1,0
1526905981,0,1
1526913181,1,0
1526916781,0,1
1526934781,1,0
1526959981,0,1
1526963581,1,0
1526974382,1,0
1526977982,0,1
1526992381,0,6
1526999581,1,0
1527006781,1,1
1527031981,2,0
1527042781,0,1
1527046381,1,0
1527049981,0,1
1527057181,0,1
1527067981,0,1
1527132781,0,1
1527139981,1,0
1527143581,0,1
1527147181,1,0
1527150781,0,1
1527161582,1,0
1527175981,1,1
1527183181,3,3
1527193981,0,1
1527201181,2,1
1527215581,1,0
1527219181,1,0
1527229981,1,0
1527233582,1,0
1527247981,0,1
1527251581,1,0
1527287581,0,0
1527291181,0,0
1527295231,0,0
1527298832,0,0
1527301981,0,0
1527305581,0,0
1527309632,0,0
1527312782,0,0
1527316381,2,0
1527319982,0,0
1527324033,0,0
1527327632,1,0
1527330781,0,0
1527334382,0,0
1527338433,0,1
1527341581,0,0
1527345181,0,0
1527348781,0,0
1527352381,0,2
1527355981,0,0
1527359581,2,0
1527363181,1,0
1527366782,0,0
1527370381,0,1
1527373981,0,0
1527377581,0,0
1527381181,1,0
1527385238,0,0
1527388839,0,1
1527391981,0,0
1527395581,0,0
1527399181,0,0
1527406381,1,0
1527424381,1,0
1527435181,2,0
1527456782,2,0
1527463981,1,0
1527474781,1,0
1527478381,2,1
1527489181,1,0
1527499981,2,0
1527517981,0,1
1527525190,1,1
1527539581,0,2
1527543181,1,0
1527546781,0,1
1527550382,1,0
1527553981,0,1
1527586381,1,0
1527589981,0,2
1527600781,0,1
1527611581,0,1
1527636781,1,0
1527640381,0,1
1527654781,0,1
1527661982,0,1
1527665582,0,1
1527679981,0,2
1527683581,1,0
1527694381,1,0
1527712381,2,0
1527733981,0,1
1527780781,1,0
1527787981,0,1
1527823981,1,0
1527881581,3,0
1527885181,1,0
1527892381,1,0
1527910381,0,0
1527913981,1,0
1527917581,0,0
1527921631,0,0
1527924781,0,0
1527928381,0,0
1527931981,0,0
1527935581,0,0
1527939181,0,0
1527942781,0,0
1527946381,0,0
1527949982,0,0
1527953581,0,0
1527957632,0,0
1527960781,0,0
1527964381,0,0
1527967981,0,0
1527971581,0,0
1527975181,0,0
1527978781,0,0
1527982381,327,0
1527985981,0,0
1527989581,0,0
1527993631,0,0
1527996781,0,0
1528000381,1,0
1528003981,0,0
