DateTime,AddedIPs,RemovedIPs
1526643181,15,16
1526650381,10,13
1526653981,9,10
1526661181,9,9
1526664781,9,8
1526671981,16,12
1526675581,14,14
1526682781,10,11
1526686381,13,11
1526693581,12,16
1526697181,15,11
1526704381,14,18
1526707981,9,6
1526715181,13,13
1526718781,13,17
1526725981,15,12
1526729581,17,14
1526736782,13,14
1526740381,8,7
1526747582,15,13
1526751181,16,18
1526758381,14,14
1526761981,9,10
1526765582,13,12
1526769632,9,8
1526776382,11,8
1526783581,8,8
1526787181,8,11
1526794381,11,11
1526797981,14,13
1526805181,12,13
1526808781,16,16
1526815981,11,12
1526819581,14,12
1526826781,13,12
1526830381,15,17
1526837581,19,15
1526841182,17,16
1526844781,7,10
1526848381,12,12
1526855581,15,14
1526859182,14,16
1526866381,8,7
1526869981,10,10
1526877182,10,13
1526880781,17,14
1526887981,15,14
1526891581,14,16
1526898781,12,10
1526902381,16,17
1526909581,16,14
1526913181,12,15
1526920381,9,7
1526923982,17,14
1526931181,14,17
1526934781,17,16
1526941981,10,10
1526945581,13,11
1526952781,16,20
1526956382,15,14
1526963581,9,7
1526967181,16,20
1526974382,17,15
1526977982,16,19
1526985181,20,17
1526988781,13,13
1526995981,15,15
1526999581,13,16
1527006781,17,15
1527010381,15,16
1527017581,11,10
1527021182,10,9
1527024781,13,12
1527028381,7,8
1527031981,16,15
1527035581,14,16
1527042781,7,7
1527046381,12,13
1527049981,6,7
1527057181,13,12
1527060781,16,15
1527067981,10,10
1527071581,6,5
1527075181,15,15
1527082381,18,16
1527085982,15,19
1527089582,8,9
1527096781,16,16
1527100381,9,9
1527103981,11,8
1527107581,14,15
1527115233,14,15
1527121981,14,14
1527125581,13,12
1527132781,12,12
1527136381,9,11
1527139981,19,17
1527147181,15,13
1527150781,5,5
1527154381,10,13
1527161582,12,12
1527165181,10,10
1527172381,5,8
1527175981,13,10
1527179581,12,13
1527183181,13,13
1527186781,8,9
1527193981,12,13
1527197581,7,5
1527201181,11,13
1527204781,7,6
1527208382,6,8
1527215581,6,7
1527219181,7,7
1527222781,9,10
1527229981,14,11
1527233582,15,15
1527240781,17,19
1527244381,12,13
1527251581,15,15
1527255181,13,13
1527262381,16,15
1527265981,17,18
1527269581,8,11
1527273181,11,8
1527280381,14,10
1527283981,11,11
1527287581,0,0
1527291181,8,9
1527295231,3,4
1527298832,8,7
1527301981,0,0
1527305581,10,10
1527309632,11,14
1527312782,0,0
1527316381,56,0
1527319982,0,8
1527324033,56,0
1527327632,7,7
1527330781,0,0
1527334382,12,12
1527338433,10,10
1527341581,0,0
1527345181,14,13
1527348781,0,0
1527352381,10,10
1527355981,14,15
1527359581,14,10
1527363181,7,9
1527366782,8,9
1527370381,11,8
1527373981,6,7
1527377581,4,4
1527381181,10,10
1527385238,11,10
1527388839,5,6
1527391981,0,0
1527395581,11,13
1527399181,0,0
1527402781,18,16
1527406381,11,13
1527413582,15,13
1527417181,12,13
1527424381,17,16
1527427981,11,14
1527435181,17,16
1527438781,12,12
1527442381,20,19
1527449581,10,9
1527453181,12,11
1527456782,13,11
1527463981,8,7
1527467581,11,14
1527474781,11,14
1527478381,14,9
1527485582,10,11
1527489181,14,14
1527496381,11,10
1527499981,11,14
1527507181,12,9
1527510781,14,16
1527514381,13,16
1527521581,13,11
1527525190,11,10
1527528782,17,16
1527535982,12,11
1527539581,12,12
1527543181,10,12
1527550382,13,11
1527553981,10,16
1527561181,17,13
1527564781,10,12
1527571981,15,14
1527575582,11,14
1527582782,15,12
1527586381,6,7
1527593581,10,13
1527597181,10,8
1527600781,12,11
1527607981,12,11
1527611581,13,16
1527615181,10,9
1527618781,10,9
1527625982,11,10
1527629581,10,12
1527636781,12,12
1527640381,8,6
1527643981,13,14
1527651181,16,17
1527654781,12,12
1527661982,13,13
1527665582,14,14
1527672781,14,13
1527676381,11,12
1527683581,14,15
1527687181,11,11
1527694381,20,15
1527697981,11,14
1527705181,19,17
1527708781,12,13
1527712381,17,14
1527719581,11,13
1527723181,16,17
1527730382,12,9
1527733981,14,14
1527737581,12,17
1527744781,14,12
1527748381,14,11
1527755581,6,10
1527759181,17,15
1527766381,17,18
1527769982,20,18
1527777181,14,15
1527780781,15,17
1527784381,16,16
1527787981,15,14
1527795181,12,10
1527798781,16,18
1527805981,10,9
1527809581,14,15
1527813181,8,6
1527820381,12,13
1527823981,18,14
1527831181,7,11
1527834781,13,14
1527838382,12,12
1527845581,7,8
1527849182,13,13
1527856381,16,15
1527859981,13,15
1527867182,11,11
1527870781,14,11
1527874381,9,10
1527881581,17,18
1527885181,12,10
1527888781,11,11
1527892381,9,11
1527895981,7,6
1527903181,16,14
1527906781,15,19
1527910381,0,0
1527913981,13,12
1527917581,11,12
1527921631,10,12
1527924781,0,0
1527928381,10,7
1527931981,13,12
1527935581,8,12
1527939181,7,6
1527942781,0,0
1527946381,11,8
1527949982,3,4
1527953581,0,0
1527957632,14,14
1527960781,0,0
1527964381,16,16
1527967981,8,8
1527971581,14,12
1527975181,9,12
1527978781,0,0
1527982381,7,5
1527985981,12,15
1527989581,8,9
1527993631,15,14
1527996781,0,0
1528000381,11,10
1528003981,5,5
1528007582,4,5
1528011182,13,12
1528018382,8,8
1528021981,10,10
1528025581,8,10
1528029181,8,7
1528036381,11,9
1528039982,8,7
1528043581,13,17
1528047181,10,9
1528050781,12,11
1528054381,10,11
1528057981,4,3
1528061581,7,9
1528065181,10,7
1528068781,4,4
1528072381,14,16
1528075981,9,10
1528083181,14,14
1528086782,8,9
1528090381,8,6
1528093981,5,4
1528101181,6,9
1528104781,18,15
1528108381,16,15
1528115582,9,9
1528119181,14,16
1528126381,12,14
1528129981,6,6
1528133581,8,6
1528140782,11,14
1528144381,8,9
1528147981,11,7
1528151581,7,8
1528158781,13,15
1528162381,16,14
1528169581,8,11
1528173181,12,10
1528180381,19,19
1528183982,22,19
1528191181,14,17
1528194781,9,8
1528198381,12,12
1528201981,7,8
1528209181,8,8
1528212781,11,9
1528219981,18,18
1528223581,10,11
1528227181,12,12
1528230781,9,9
1528234382,16,13
1528241581,5,7
1528245181,6,6
1528248781,10,12
1528252381,8,8
1528255981,14,12
1528263181,12,13
1528266781,13,13
1528273981,19,18
1528277581,7,7
1528281181,15,12
1528288381,8,11
1528291981,11,9
1528295581,12,12
1528302781,11,15
1528306381,18,18
1528312233,20,17
1528317181,9,11
1528320781,9,9
1528324381,10,8
1528327981,5,6
1528332031,14,14
1528338781,8,7
1528345981,10,13
1528349581,13,10
1528353181,8,9
1528360382,12,12
1528363981,12,14
1528367581,12,11
1528374781,7,6
1528378381,14,17
1528385581,19,16
1528389181,6,8
1528396381,16,17
1528403581,15,13
1528410781,13,14
1528417981,5,5
1528421581,11,11
1528425181,7,6
1528428781,7,7
1528432381,11,13
1528439581,13,12
1528443181,16,18
1528450381,14,11
1528453981,11,13
1528461181,12,11
1528464781,9,10
1528468381,19,15
1528471981,12,12
1528475582,9,14
1528479181,9,8
1528482781,12,10
1528489981,18,18
1528493581,18,20
1528497181,10,8
1528500781,11,13
1528504381,13,10
1528507981,6,7
1528515181,11,12
1528518781,16,12
1528525981,7,7
1528529581,11,11
1528536781,13,14
1528540381,14,15
1528547581,9,8
1528551181,17,16
1528558381,14,16
1528561981,13,11
1528569181,10,9
1528572781,12,15
1528576381,8,6
1528579982,12,14
1528587181,13,11
1528594381,7,7
1528597981,13,13
1528605181,9,10
1528608781,14,12
1528612381,11,13
1528615981,11,11
1528619581,8,6
1528623181,10,11
1528630382,15,17
1528633982,15,12
1528641181,10,11
1528644781,9,9
1528648381,8,8
1528651981,10,10
1528655581,14,16
1528659181,13,12
1528666381,11,10
1528669981,11,9
1528673581,11,13
1528680781,16,16
1528684381,11,11
1528691581,16,17
1528695181,15,14
1528702381,12,11
1528705982,12,14
1528709581,16,16
1528713181,9,7
1528716782,7,10
1528723982,12,11
1528727581,11,12
1528731181,8,10
1528734781,8,9
1528738381,14,13
1528741981,11,10
1528745581,8,6
1528749181,15,17
1528752781,5,4
1528756381,8,7
1528763581,13,13
1528767181,6,7
1528770781,15,16
1528774381,10,11
1528777981,13,13
1528781581,9,8
1528785181,8,8
1528792382,11,10
1528795982,10,8
1528799581,10,12
1528803181,6,5
1528806781,11,14
1528810381,11,10
1528813981,10,9
1528817581,7,6
1528821181,6,6
1528828381,12,14
1528831981,14,14
1528839181,8,10
1528842781,11,7
1528846381,7,10
1528849981,6,3
1528853581,8,11
1528857181,11,9
1528860781,11,13
1528864381,9,9
1528867981,10,9
1528871581,4,5
1528875181,7,9
1528878781,5,4
1528882381,15,12
1528885981,11,11
1528889582,5,6
1528893181,10,10
1528896781,8,8
1528900381,14,12
1528903981,10,8
1528907581,6,7
1528914781,9,12
1528918381,7,6
1528921981,13,12
1528925581,7,11
1528929181,8,7
1528932781,9,8
1528936381,14,13
1528943581,2,3
1528947182,8,8
1528950781,15,14
1528954381,14,12
1528957981,8,11
1528965181,13,13
1528968781,14,14
